t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,x_real,y_real,psi_real,u_real,v_real,r_real
0.000000,0.000000,-0.000000,-0.030693,0.099953,0.003069,0.000000,3.675027,0.000471,1.838419,1.836608,0.000000,-0.000000,-0.030693,0.099953,0.003069,0.000000
0.033333,0.003334,-0.000000,-0.030693,0.099973,0.003068,-0.000000,3.701317,0.000356,1.851344,1.849973,0.003372,-0.000004,-0.030693,0.102297,0.002932,-0.000002
0.066667,0.006668,-0.000000,-0.030693,0.100033,0.003066,-0.000001,3.728915,0.000239,1.864917,1.863998,0.006823,-0.000014,-0.030694,0.104620,0.002801,-0.000005
0.100000,0.010006,-0.000000,-0.030694,0.100134,0.003063,-0.000003,3.757811,0.000119,1.879134,1.878677,0.010350,-0.000031,-0.030694,0.106924,0.002676,-0.000009
0.133333,0.013348,-0.000001,-0.030694,0.100274,0.003059,-0.000004,3.787996,-0.000004,1.893990,1.894006,0.013953,-0.000054,-0.030694,0.109212,0.002556,-0.000012
0.166667,0.016694,-0.000002,-0.030694,0.100453,0.003053,-0.000007,3.819459,-0.000130,1.909480,1.909979,0.017632,-0.000084,-0.030695,0.111484,0.002442,-0.000016
0.200000,0.020048,-0.000003,-0.030694,0.100671,0.003046,-0.000010,3.852191,-0.000258,1.925599,1.926592,0.021387,-0.000120,-0.030695,0.113742,0.002333,-0.000021
0.233333,0.023409,-0.000005,-0.030694,0.100928,0.003038,-0.000013,3.886182,-0.000389,1.942343,1.943839,0.025216,-0.000161,-0.030696,0.115989,0.002229,-0.000026
0.266667,0.026780,-0.000007,-0.030695,0.101224,0.003029,-0.000017,3.921423,-0.000522,1.959707,1.961716,0.029120,-0.000208,-0.030697,0.118225,0.002129,-0.000031
0.300000,0.030161,-0.000010,-0.030696,0.101558,0.003018,-0.000022,3.957903,-0.000658,1.977686,1.980217,0.033099,-0.000261,-0.030698,0.120452,0.002034,-0.000037
0.333333,0.033554,-0.000014,-0.030696,0.101930,0.003007,-0.000027,3.995612,-0.000796,1.996275,1.999337,0.037151,-0.000319,-0.030699,0.122672,0.001943,-0.000043
0.366667,0.036960,-0.000018,-0.030697,0.102340,0.002994,-0.000032,4.034541,-0.000936,2.015470,2.019071,0.041277,-0.000383,-0.030701,0.124887,0.001857,-0.000050
0.400000,0.040380,-0.000024,-0.030699,0.102788,0.002980,-0.000038,4.074680,-0.001079,2.035266,2.039414,0.045477,-0.000451,-0.030703,0.127097,0.001774,-0.000057
0.433333,0.043816,-0.000030,-0.030700,0.103272,0.002965,-0.000045,4.116019,-0.001223,2.055658,2.060361,0.049750,-0.000525,-0.030705,0.129303,0.001695,-0.000065
0.466667,0.047268,-0.000038,-0.030702,0.103794,0.002949,-0.000052,4.158549,-0.001369,2.076642,2.081907,0.054097,-0.000603,-0.030707,0.131508,0.001619,-0.000073
0.500000,0.050738,-0.000046,-0.030703,0.104352,0.002932,-0.000059,4.202259,-0.001517,2.098212,2.104047,0.058517,-0.000686,-0.030710,0.133713,0.001547,-0.000082
0.533333,0.054228,-0.000056,-0.030706,0.104947,0.002913,-0.000066,4.247140,-0.001667,2.120365,2.126775,0.063010,-0.000773,-0.030713,0.135919,0.001478,-0.000090
0.566667,0.057738,-0.000067,-0.030708,0.105578,0.002894,-0.000074,4.293182,-0.001818,2.143094,2.150088,0.067577,-0.000866,-0.030716,0.138126,0.001413,-0.000100
0.600000,0.061270,-0.000079,-0.030711,0.106245,0.002874,-0.000083,4.340375,-0.001971,2.166397,2.173978,0.072218,-0.000962,-0.030719,0.140337,0.001350,-0.000110
0.633333,0.064824,-0.000093,-0.030713,0.106947,0.002852,-0.000092,4.388710,-0.002126,2.190267,2.198443,0.076932,-0.001063,-0.030723,0.142552,0.001290,-0.000120
0.666667,0.068402,-0.000108,-0.030717,0.107685,0.002830,-0.000101,4.438175,-0.002281,2.214700,2.223475,0.081720,-0.001168,-0.030727,0.144773,0.001233,-0.000131
0.700000,0.072006,-0.000125,-0.030720,0.108458,0.002807,-0.000111,4.488763,-0.002439,2.239692,2.249071,0.086582,-0.001277,-0.030732,0.147000,0.001178,-0.000142
0.733333,0.075636,-0.000143,-0.030724,0.109266,0.002782,-0.000121,4.540463,-0.002597,2.265237,2.275226,0.091518,-0.001391,-0.030737,0.149235,0.001126,-0.000154
0.766667,0.079293,-0.000163,-0.030728,0.110108,0.002757,-0.000131,4.593264,-0.002756,2.291331,2.301933,0.096529,-0.001508,-0.030742,0.151478,0.001077,-0.000166
0.800000,0.082979,-0.000185,-0.030733,0.110985,0.002731,-0.000141,4.647159,-0.002917,2.317970,2.329189,0.101614,-0.001629,-0.030748,0.153730,0.001029,-0.000178
0.833333,0.086694,-0.000209,-0.030738,0.111896,0.002704,-0.000152,4.702135,-0.003079,2.345147,2.356988,0.106775,-0.001754,-0.030754,0.155993,0.000984,-0.000191
0.866667,0.090441,-0.000234,-0.030743,0.112840,0.002676,-0.000164,4.758184,-0.003241,2.372860,2.385325,0.112011,-0.001883,-0.030761,0.158267,0.000941,-0.000204
0.900000,0.094219,-0.000261,-0.030749,0.113818,0.002647,-0.000175,4.815297,-0.003404,2.401102,2.414195,0.117324,-0.002016,-0.030768,0.160553,0.000900,-0.000218
0.933333,0.098031,-0.000291,-0.030755,0.114830,0.002617,-0.000187,4.873462,-0.003568,2.429870,2.443592,0.122712,-0.002153,-0.030775,0.162852,0.000861,-0.000232
