t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms
0.0102393,0.000213877,1.25362e-18,9.56564e-19,-1.78263e-05,-3.05937e-19,-4.38146e-18,-1.78263e-05,3.05937e-19,4.38146e-18,0.000215,0,-0,0.1,0,-0.002019,3.67676,-0.017998,6.69057,-0.102597,0.113994,0.128957,0.113994,0.128957,-1.12299e-06,1.25362e-18,1.12299e-06,9.56564e-19,-0.100018,-3.05937e-19,0.002019,10.1637
0.0344603,0.000213305,1.22327e-18,9.31388e-19,-1.6165e-05,-7.45995e-19,-4.65068e-18,-1.6165e-05,7.45995e-19,4.65068e-18,0.003549,-0,-0.000107,0.100021,9e-06,-0.00374,3.70455,-0.360011,7.04738,-0.443291,0.0949396,0.157692,0.0949396,0.157692,-0.0033357,1.22327e-18,0.0033357,0.000107,-0.100037,-9e-06,0.00374,6.24628
0.0669637,0.000302555,2.27659e-07,-5.84842e-06,0.00223002,5.69935e-06,-0.000136715,0.00223002,-5.69935e-06,0.000136715,0.006884,-0,-0.000264,0.100085,2e-05,-0.005381,3.73369,-0.360356,7.32673,-0.4904,0.0977958,0.165236,0.0977958,0.165236,-0.00658145,2.27659e-07,0.00658145,0.000258152,-0.097855,-1.43006e-05,0.00524429,5.45769
0.0997598,0.000726652,2.55864e-06,-7.21212e-05,0.0112358,6.02235e-05,-0.00169636,0.0112358,-6.02235e-05,0.00169636,0.010221,-1e-06,-0.000469,0.100191,3.2e-05,-0.006943,3.76414,-0.360085,7.36087,-0.497877,0.0979981,0.166237,0.0979981,0.166237,-0.00949435,3.55864e-06,0.00949435,0.000396879,-0.0889552,2.82235e-05,0.00524664,4.92109
0.13287,0.00150668,6.94068e-06,-0.000232504,0.0211145,0.000122473,-0.00430351,0.0211145,-0.000122473,0.00430351,0.013563,-1e-06,-0.00072,0.100339,4.5e-05,-0.008427,3.79591,-0.359219,7.33507,-0.47309,0.0994362,0.164374,0.0994362,0.164374,-0.0120563,7.94068e-06,0.0120563,0.000487496,-0.0792245,7.7473e-05,0.00412349,4.66316
0.167532,0.00263986,1.15724e-05,-0.000489756,0.0309355,0.000140306,-0.00699304,0.0309355,-0.000140306,0.00699304,0.016911,-2e-06,-0.001016,0.100528,6e-05,-0.009835,3.82899,-0.35778,7.27934,-0.440614,0.100781,0.161532,0.100781,0.161532,-0.0142711,1.35724e-05,0.0142711,0.000526244,-0.0695925,8.03059e-05,0.00284196,6.013
0.199368,0.00411698,1.48198e-05,-0.000838318,0.0405047,0.000119901,-0.00954269,0.0405047,-0.000119901,0.00954269,0.020266,-4e-06,-0.001356,0.100758,7.7e-05,-0.011168,3.86335,-0.355792,7.20087,-0.406468,0.101713,0.158153,0.101713,0.158153,-0.016149,1.88198e-05,0.016149,0.000517682,-0.0602533,4.2901e-05,0.00162531,4.45698
0.232567,0.00592771,1.59074e-05,-0.00126894,0.0497879,8.63071e-05,-0.0118427,0.0497879,-8.63071e-05,0.0118427,0.023629,-6e-06,-0.001738,0.101028,9.4e-05,-0.012427,3.89899,-0.353275,7.10188,-0.374052,0.102016,0.154457,0.102016,0.154457,-0.0177013,2.19074e-05,0.0177013,0.000469061,-0.0512401,-7.69287e-06,0.000584259,4.39415
0.266139,0.00806119,1.50118e-05,-0.00177053,0.0587699,6.74324e-05,-0.0138347,0.0587699,-6.74324e-05,0.0138347,0.027001,-9e-06,-0.00216,0.101339,0.000113,-0.013615,3.9359,-0.350253,6.98403,-0.345544,0.101553,0.150592,0.101553,0.150592,-0.0189398,2.40118e-05,0.0189398,0.000389466,-0.0425691,-4.55676e-05,-0.000219658,4.64622
0.300316,0.010506,1.29428e-05,-0.00233199,0.0674349,8.24056e-05,-0.015513,0.0674349,-8.24056e-05,0.015513,0.030385,-1.3e-05,-0.00262,0.10169,0.000133,-0.014731,3.97406,-0.346747,6.84907,-0.321741,0.100295,0.14663,0.100295,0.14663,-0.019879,2.59428e-05,0.0198791,0.00028801,-0.0342551,-5.05944e-05,-0.000781982,5.50024
0.333234,0.01325,1.06208e-05,-0.00294379,0.0757674,0.000135557,-0.016922,0.0757674,-0.000135557,0.016922,0.033781,-1.8e-05,-0.003117,0.102081,0.000155,-0.015779,4.01346,-0.34278,6.69876,-0.301993,0.0983211,0.142558,0.0983211,0.142558,-0.020531,2.86208e-05,0.020531,0.000173209,-0.0263136,-1.94429e-05,-0.00114299,5.07934
0.365843,0.0162795,8.57197e-06,-0.00359797,0.0837187,0.000216597,-0.018109,0.0837187,-0.000216597,0.018109,0.037191,-2.4e-05,-0.003649,0.102511,0.000177,-0.016758,4.05409,-0.338374,6.53614,-0.285448,0.095752,0.138371,0.095752,0.138371,-0.0209115,3.2572e-05,0.0209115,5.10317e-05,-0.0187923,3.95971e-05,-0.00135104,4.35936
0.399673,0.0162795,8.57197e-06,-0.00359797,0.0837187,0.000216597,-0.018109,0.0837187,-0.000216597,0.018109,0.040616,-3.2e-05,-0.004214,0.10298,0.0002,-0.017671,4.09595,-0.33355,6.92965,-0.340198,0.100699,0.149272,0.100699,0.149272,-0.0243365,4.0572e-05,0.0243365,0.000616032,-0.0192613,1.65971e-05,-0.000438035,4.77393
0.4333,0.0195787,6.7122e-06,-0.00428841,0.0912357,0.000308222,-0.0191245,0.0912357,-0.000308222,0.0191245,0.044057,-4e-05,-0.004809,0.103488,0.000225,-0.018519,4.139,-0.328331,6.76208,-0.325649,0.0978795,0.145269,0.0978795,0.145269,-0.0244783,4.67122e-05,0.0244783,0.000520595,-0.0122523,8.32217e-05,-0.000605508,5.07524
0.466508,0.0231452,4.54432e-06,-0.00501698,0.0986465,0.000399651,-0.0201724,0.0986465,-0.000399651,0.0201724,0.047515,-5e-05,-0.005434,0.104033,0.00025,-0.019303,4.18326,-0.322739,6.57556,-0.307621,0.0948413,0.140591,0.0948413,0.140591,-0.0243698,5.45443e-05,0.0243699,0.000417025,-0.00538651,0.000149651,-0.000869397,5.01203
0.499806,0.0269768,1.20588e-06,-0.00578784,0.106031,0.000482688,-0.0213488,0.106031,-0.000482688,0.0213488,0.050993,-6.1e-05,-0.006087,0.104617,0.000276,-0.020025,4.22869,-0.316796,6.36788,-0.283271,0.0917633,0.134951,0.0917633,0.134951,-0.0240162,6.22059e-05,0.0240163,0.00029916,0.00141435,0.000206688,-0.00132375,4.989
0.533287,0.0310561,-4.48253e-06,-0.00659667,0.11294,0.000545741,-0.0224112,0.11294,-0.000545741,0.0224112,0.05449,-7.4e-05,-0.006764,0.105239,0.000303,-0.020686,4.2753,-0.310525,6.15518,-0.259041,0.0884887,0.129039,0.0884887,0.129039,-0.0234339,6.95175e-05,0.023434,0.00016733,0.00770093,0.000242741,-0.00172515,5.05698
0.565672,0.0353663,-1.34037e-05,-0.00743789,0.119379,0.000595532,-0.0233224,0.119379,-0.000595532,0.0233224,0.058009,-8.8e-05,-0.007465,0.105898,0.000331,-0.021287,4.32307,-0.303946,5.93901,-0.236169,0.0849356,0.122954,0.0849356,0.122954,-0.0226427,7.45963e-05,0.0226428,2.71143e-05,0.0134806,0.000264532,-0.00203538,4.16468
0.599427,0.0398917,-2.59362e-05,-0.00830539,0.125379,0.000644801,-0.0240637,0.125379,-0.000644801,0.0240637,0.06155,-0.000105,-0.008187,0.106593,0.00036,-0.02183,4.37198,-0.297082,5.72002,-0.215478,0.0810278,0.116758,0.0810278,0.116758,-0.0216583,7.90638e-05,0.0216584,-0.000118388,0.0187859,0.000284801,-0.00223372,4.60539
