t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,cmd_left_ref,cmd_right_ref
0.000000,0.000163,-0.000000,-0.047140,-0.000036,-0.000002,0.000000,-0.001322,0.000000,-0.000661,-0.000661,0.000000,0.000000
0.033333,0.000162,-0.000000,-0.047140,-0.000011,-0.000002,-0.000000,0.031321,-0.000013,0.015636,0.015685,0.051915,0.051917
0.066667,0.000163,-0.000000,-0.047140,0.000064,-0.000003,-0.000000,0.065585,-0.000025,0.032745,0.032841,0.052596,0.052600
0.100000,0.000167,-0.000000,-0.047140,0.000188,-0.000005,-0.000000,0.101459,-0.000037,0.050659,0.050801,0.053307,0.053313
0.133333,0.000176,-0.000001,-0.047140,0.000362,-0.000008,-0.000000,0.138930,-0.000049,0.069372,0.069559,0.054049,0.054057
0.166667,0.000192,-0.000002,-0.047140,0.000585,-0.000012,-0.000001,0.177986,-0.000060,0.088878,0.089108,0.054822,0.054831
0.200000,0.000215,-0.000004,-0.047140,0.000856,-0.000016,-0.000001,0.218615,-0.000071,0.109171,0.109443,0.055624,0.055635
0.233333,0.000249,-0.000006,-0.047140,0.001175,-0.000021,-0.000001,0.260803,-0.000081,0.130246,0.130557,0.056456,0.056468
0.266667,0.000294,-0.000009,-0.047140,0.001542,-0.000027,-0.000002,0.304540,-0.000091,0.152095,0.152444,0.057316,0.057330
0.300000,0.000352,-0.000013,-0.047140,0.001957,-0.000033,-0.000002,0.349811,-0.000100,0.174713,0.175098,0.058206,0.058221
0.333333,0.000425,-0.000017,-0.047140,0.002419,-0.000041,-0.000003,0.396607,-0.000109,0.198094,0.198513,0.059123,0.059140
0.366667,0.000514,-0.000023,-0.047140,0.002928,-0.000048,-0.000003,0.444913,-0.000117,0.222231,0.222681,0.060069,0.060086
0.400000,0.000620,-0.000030,-0.047140,0.003483,-0.000057,-0.000003,0.494718,-0.000124,0.247119,0.247598,0.061042,0.061060
0.433333,0.000746,-0.000038,-0.047141,0.004085,-0.000066,-0.000004,0.546009,-0.000131,0.272752,0.273257,0.062042,0.062061
0.466667,0.000892,-0.000047,-0.047141,0.004732,-0.000076,-0.000004,0.598774,-0.000137,0.299123,0.299651,0.063068,0.063089
0.500000,0.001061,-0.000058,-0.047141,0.005425,-0.000087,-0.000005,0.653000,-0.000143,0.326226,0.326774,0.064121,0.064143
0.533333,0.001254,-0.000070,-0.047141,0.006163,-0.000098,-0.000005,0.708677,-0.000147,0.354055,0.354621,0.065200,0.065222
0.566667,0.001472,-0.000084,-0.047141,0.006946,-0.000110,-0.000006,0.765790,-0.000151,0.382605,0.383185,0.066304,0.066327
0.600000,0.001717,-0.000099,-0.047141,0.007773,-0.000122,-0.000006,0.824328,-0.000154,0.411868,0.412460,0.067433,0.067456
0.633333,0.001990,-0.000116,-0.047142,0.008645,-0.000135,-0.000007,0.884278,-0.000156,0.441840,0.442439,0.068587,0.068610
0.666667,0.002292,-0.000135,-0.047142,0.009560,-0.000148,-0.000007,0.945629,-0.000157,0.472513,0.473116,0.069765,0.069788
0.700000,0.002626,-0.000156,-0.047142,0.010519,-0.000162,-0.000008,1.008367,-0.000157,0.503882,0.504485,0.070966,0.070989
0.733333,0.002993,-0.000179,-0.047142,0.011522,-0.000177,-0.000008,1.072481,-0.000156,0.535941,0.536541,0.072191,0.072214
0.766667,0.003393,-0.000204,-0.047143,0.012567,-0.000192,-0.000009,1.137958,-0.000154,0.568683,0.569276,0.073439,0.073462
0.800000,0.003830,-0.000231,-0.047143,0.013654,-0.000208,-0.000009,1.204787,-0.000151,0.602102,0.602684,0.074709,0.074731
0.833333,0.004303,-0.000261,-0.047143,0.014784,-0.000224,-0.000009,1.272953,-0.000147,0.636193,0.636760,0.076002,0.076023
0.866667,0.004814,-0.000293,-0.047144,0.015956,-0.000241,-0.000010,1.342446,-0.000142,0.670950,0.671497,0.077316,0.077336
0.900000,0.005365,-0.000327,-0.047144,0.017169,-0.000258,-0.000010,1.413253,-0.000136,0.706365,0.706888,0.078651,0.078671
0.933333,0.005957,-0.000364,-0.047144,0.018423,-0.000275,-0.000010,1.485362,-0.000129,0.742434,0.742928,0.080007,0.080026
0.966667,0.006591,-0.000403,-0.047145,0.019718,-0.000293,-0.000010,1.558760,-0.000120,0.779149,0.779611,0.081384,0.081401
1.000000,0.007269,-0.000445,-0.047145,0.021054,-0.000312,-0.000010,1.633435,-0.000110,0.816506,0.816929,0.082780,0.082796
1.033333,0.007993,-0.000490,-0.047145,0.022429,-0.000331,-0.000010,1.709375,-0.000099,0.854497,0.854878,0.084196,0.084210
1.066667,0.008762,-0.000538,-0.047146,0.023845,-0.000350,-0.000010,1.786567,-0.000087,0.893117,0.893450,0.085631,0.085644
1.100000,0.009580,-0.000589,-0.047146,0.025300,-0.000370,-0.000010,1.864999,-0.000073,0.932360,0.932639,0.087085,0.087096
1.133333,0.010447,-0.000642,-0.047146,0.026795,-0.000390,-0.000010,1.944659,-0.000058,0.972219,0.972440,0.088558,0.088566
1.166667,0.011363,-0.000699,-0.047147,0.028328,-0.000410,-0.000010,2.025535,-0.000041,1.012688,1.012846,0.090048,0.090054
1.200000,0.012332,-0.000758,-0.047147,0.029899,-0.000431,-0.000009,2.107614,-0.000023,1.053762,1.053851,0.091556,0.091559
1.233333,0.013354,-0.000821,-0.047147,0.031509,-0.000452,-0.000009,2.190883,-0.000004,1.095434,1.095449,0.093081,0.093082
1.266667,0.014429,-0.000888,-0.047147,0.033157,-0.000474,-0.000008,2.275331,0.000017,1.137699,1.137633,0.094623,0.094620
1.300000,0.015560,-0.000957,-0.047148,0.034842,-0.000496,-0.000008,2.360946,0.000040,1.180549,1.180397,0.096181,0.096175
1.333333,0.016748,-0.001030,-0.047148,0.036564,-0.000518,-0.000007,2.447714,0.000064,1.223980,1.223735,0.097755,0.097746
1.366667,0.017994,-0.001106,-0.047148,0.038323,-0.000540,-0.000006,2.535624,0.000089,1.267984,1.267641,0.099345,0.099332
1.400000,0.019299,-0.001186,-0.047148,0.040119,-0.000563,-0.000005,2.624664,0.000116,1.312556,1.312108,0.100950,0.100933
1.433333,0.020664,-0.001270,-0.047149,0.041950,-0.000586,-0.000004,2.714820,0.000145,1.357690,1.357131,0.102569,0.102549
1.466667,0.022091,-0.001357,-0.047149,0.043818,-0.000609,-0.000003,2.806081,0.000176,1.403379,1.402702,0.104203,0.104179
1.500000,0.023581,-0.001448,-0.047149,0.045721,-0.000633,-0.000002,2.898435,0.000208,1.449618,1.448817,0.105851,0.105823
1.533333,0.025134,-0.001543,-0.047149,0.047659,-0.000656,-0.000000,2.991869,0.000242,1.496400,1.495468,0.107513,0.107480
1.566667,0.026753,-0.001642,-0.047149,0.049632,-0.000680,0.000001,3.086370,0.000278,1.543720,1.542650,0.109188,0.109150
1.600000,0.028438,-0.001744,-0.047149,0.051639,-0.000704,0.000003,3.181927,0.000316,1.591571,1.590356,0.110876,0.110833
1.633333,0.030190,-0.001851,-0.047148,0.053681,-0.000729,0.000005,3.278527,0.000355,1.639947,1.638580,0.112576,0.112528
1.666667,0.032011,-0.001962,-0.047148,0.055756,-0.000753,0.000007,3.376158,0.000397,1.688842,1.687316,0.114289,0.114235
1.700000,0.033901,-0.002076,-0.047148,0.057865,-0.000778,0.000009,3.474807,0.000440,1.738250,1.736557,0.116013,0.115954
1.733333,0.035862,-0.002195,-0.047148,0.060007,-0.000803,0.000011,3.574463,0.000485,1.788165,1.786298,0.117749,0.117684
