t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,tau_u_plan,tau_r_plan,T1_plan,T2_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_applied,tau_r_applied,T1_applied,T2_applied
0.000000,0.000000,0.000000,0.000000,0.100000,-0.000000,-0.019897,3.683546,-0.252445,0.703261,1.138511,0.000000,0.000000,0.000000,0.100000,-0.000000,-0.019897,2.277023,-0.660337,0.000000,1.138511
0.033333,0.003334,-0.000000,-0.000670,0.100021,0.000065,-0.020307,3.713088,-0.251607,0.711370,1.145174,0.003345,-0.000000,-0.000711,0.100676,0.000063,-0.022770,3.713088,-0.251607,0.711370,1.145174
0.066667,0.006669,-0.000000,-0.001354,0.100085,0.000129,-0.020695,3.743957,-0.248488,0.721775,1.150203,0.006740,-0.000001,-0.001482,0.103049,0.000129,-0.023474,3.743957,-0.248488,0.721775,1.150203
0.100000,0.010006,-0.000001,-0.002050,0.100191,0.000190,-0.021041,3.776140,-0.243021,0.734534,1.153536,0.010215,-0.000002,-0.002276,0.105406,0.000196,-0.024144,3.776140,-0.243021,0.734534,1.153536
0.133333,0.013348,-0.000001,-0.002756,0.100338,0.000250,-0.021345,3.809626,-0.237434,0.747722,1.157091,0.013767,-0.000004,-0.003091,0.107749,0.000263,-0.024769,3.809626,-0.237434,0.747722,1.157091
0.166667,0.016696,-0.000002,-0.003473,0.100527,0.000307,-0.021609,3.844403,-0.231755,0.761312,1.160889,0.017398,-0.000006,-0.003926,0.110080,0.000332,-0.025349,3.844403,-0.231755,0.761312,1.160889
0.200000,0.020051,-0.000004,-0.004197,0.100757,0.000363,-0.021834,3.880459,-0.226010,0.775278,1.164951,0.021106,-0.000010,-0.004780,0.112399,0.000400,-0.025885,3.880459,-0.226010,0.775278,1.164951
0.233333,0.023414,-0.000006,-0.004928,0.101027,0.000417,-0.022022,3.917781,-0.220224,0.789597,1.169293,0.024891,-0.000016,-0.005651,0.114709,0.000469,-0.026378,3.917781,-0.220224,0.789597,1.169293
0.266667,0.026786,-0.000009,-0.005665,0.101338,0.000469,-0.022173,3.956357,-0.214419,0.804246,1.173933,0.028754,-0.000022,-0.006538,0.117012,0.000539,-0.026828,3.956357,-0.214419,0.804246,1.173933
0.300000,0.030170,-0.000013,-0.006407,0.101689,0.000518,-0.022290,3.996176,-0.208615,0.819204,1.178884,0.032693,-0.000031,-0.007439,0.119308,0.000608,-0.027237,3.996176,-0.208615,0.819204,1.178884
0.333333,0.033566,-0.000018,-0.007151,0.102080,0.000566,-0.022374,4.037226,-0.202831,0.834452,1.184161,0.036708,-0.000041,-0.008353,0.121599,0.000678,-0.027605,4.037226,-0.202831,0.834452,1.184161
