t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms
8.006e-05,0.000214831,9.15452e-19,-1.45511e-18,-2.284e-06,-6.02969e-19,-4.95339e-19,-2.284e-06,6.02969e-19,4.95339e-19,0.000215,0,0,0.1,-0,-0.019897,3.68355,-0.252445,5.19777,-3.65357,-0.182661,0.277531,-0.182661,0.277531,-1.68609e-07,9.15452e-19,1.68609e-07,-1.45511e-18,-0.100002,-6.02969e-19,0.019897,0.015988
0.0333605,0.000307001,1.49473e-05,-0.000268099,0.00230419,0.000374054,-0.00670207,0.00230419,-0.000374054,0.00670207,0.003549,-0,-0.00067,0.100021,6.5e-05,-0.020307,3.71309,-0.251607,5.27435,3.0104,0.254685,-0.14479,0.254685,-0.14479,-0.003242,1.49473e-05,0.00324203,0.000401901,-0.0977168,0.000309054,0.0136049,0.010341
0.0666613,0.000658076,3.07123e-05,-0.000757741,0.00934873,0.000486427,-0.0138486,0.00934873,-0.000486427,0.0138486,0.006884,-0,-0.001354,0.100085,0.000129,-0.020695,3.74396,-0.248488,5.27497,-3.93164,-0.196141,0.287909,-0.196141,0.287909,-0.00622592,3.07123e-05,0.006226,0.000596259,-0.0907363,0.000357427,0.00684641,0.010392
0.10004,0.0012676,3.45532e-05,-0.001321,0.016535,8.96735e-05,-0.0147336,0.016535,-8.96735e-05,0.0147336,0.010221,-1e-06,-0.00205,0.100191,0.00019,-0.021041,3.77614,-0.243021,5.26856,2.97741,0.253347,-0.142896,0.253347,-0.142896,-0.0089534,3.55532e-05,0.00895347,0.000728996,-0.083656,-0.000100326,0.00630737,0.01165
0.133372,0.0012676,3.45532e-05,-0.001321,0.016535,8.96735e-05,-0.0147336,0.016535,-8.96735e-05,0.0147336,0.013563,-1e-06,-0.002756,0.100338,0.00025,-0.021345,3.80963,-0.237434,5.3881,-1.76083,-0.0561929,0.202515,-0.0561929,0.202515,-0.0122954,3.55532e-05,0.0122954,0.001435,-0.083803,-0.000160326,0.00661137,0.015866
0.166657,0.00212944,2.18367e-05,-0.00185146,0.0235541,-0.000227092,-0.0157749,0.0235541,0.000227092,0.0157749,0.016911,-2e-06,-0.003473,0.100527,0.000307,-0.021609,3.8444,-0.231755,5.38246,-0.0930881,0.0832749,0.0994296,0.0832749,0.0994296,-0.0147816,2.38367e-05,0.0147816,0.00162154,-0.0769729,-0.000534092,0.00583411,0.010242
0.200043,0.00324114,6.08443e-06,-0.00233023,0.0304942,-0.000422982,-0.0127226,0.0304942,0.000422982,0.0127226,0.020266,-4e-06,-0.004197,0.100757,0.000363,-0.021834,3.88046,-0.22601,5.37338,-2.306,-0.0972183,0.227172,-0.0972183,0.227172,-0.0170249,1.00844e-05,0.0170249,0.00186677,-0.0702628,-0.000785982,0.00911135,0.010373
0.23345,0.00459994,3.34311e-06,-0.00292365,0.0373657,1.2998e-05,-0.0164209,0.0373657,-1.2998e-05,0.0164209,0.023629,-6e-06,-0.004928,0.101027,0.000417,-0.022022,3.91778,-0.220224,5.3621,2.75711,0.245755,-0.127523,0.245755,-0.127523,-0.0190291,9.34311e-06,0.0190291,0.00200435,-0.0636613,-0.000404002,0.00560107,0.012845
0.266713,0.0062007,1.92524e-05,-0.00375129,0.0440927,0.000559583,-0.0225726,0.0440927,-0.000559583,0.0225726,0.027001,-9e-06,-0.005665,0.101338,0.000469,-0.022173,3.95636,-0.214419,5.34862,-2.043,-0.0787853,0.215195,-0.0787853,0.215195,-0.0208003,2.82524e-05,0.0208003,0.00191371,-0.0572453,9.05827e-05,-0.000399608,0.010865
0.300046,0.00803826,9.44726e-06,-0.00426495,0.0506805,-1.95289e-05,-0.0148828,0.0506805,1.95289e-05,0.0148828,0.030385,-1.3e-05,-0.006407,0.101689,0.000518,-0.02229,3.99618,-0.208615,5.33367,1.5839,0.193014,-0.0430535,0.193014,-0.0430535,-0.0223467,2.24473e-05,0.0223468,0.00214205,-0.0510085,-0.000537529,0.00740723,0.011188
0.333386,0.0101075,1.01463e-05,-0.00490242,0.0571244,0.000257906,-0.0174201,0.0571244,-0.000257906,0.0174201,0.033781,-1.8e-05,-0.007151,0.10208,0.000566,-0.022374,4.03723,-0.202831,5.31611,-3.48354,-0.171485,0.272707,-0.171485,0.272707,-0.0236735,2.81463e-05,0.0236735,0.00224858,-0.0449556,-0.000308094,0.00495391,0.010083
0.366717,0.0124028,4.2601e-06,-0.00549258,0.0634105,0.000165845,-0.0163298,0.0634105,-0.000165845,0.0163298,0.037191,-2.4e-05,-0.007898,0.102509,0.000612,-0.022426,4.07949,-0.197083,5.29894,2.6715,0.24157,-0.123212,0.24157,-0.123212,-0.0247882,2.82601e-05,0.0247882,0.00240542,-0.0390985,-0.000446155,0.00609623,0.019012
0.400019,0.0149179,1.53057e-05,-0.00643435,0.0695246,0.000716028,-0.0258357,0.0695246,-0.000716028,0.0258357,0.040616,-3.2e-05,-0.008646,0.102978,0.000657,-0.022448,4.12297,-0.191387,5.27995,-1.85526,-0.0660739,0.205535,-0.0660739,0.205535,-0.0256981,4.73057e-05,0.0256981,0.00221165,-0.0334534,5.90281e-05,-0.00338769,0.01844
0.433392,0.0176461,3.4018e-06,-0.00715905,0.075458,0.000198625,-0.0202583,0.075458,-0.000198625,0.0202583,0.044057,-4e-05,-0.009395,0.103485,0.000699,-0.022441,4.16764,-0.185755,5.26138,0.165259,0.102469,0.0731968,0.102469,0.0731968,-0.0264109,4.34018e-05,0.0264109,0.00223595,-0.028027,-0.000500375,0.00218271,0.018508
