t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,cmd_left_ref,cmd_right_ref
0.000000,0.000215,0.000000,0.000000,0.100000,-0.000000,-0.019897,3.683546,-0.252445,0.703261,1.138511,0.008679,0.069286
0.033333,0.003549,-0.000000,-0.000670,0.100021,0.000065,-0.020307,3.713088,-0.251607,0.711370,1.145174,0.010066,0.070052
0.066667,0.006884,-0.000000,-0.001354,0.100085,0.000129,-0.020695,3.743957,-0.248488,0.721775,1.150203,0.011827,0.070627
0.100000,0.010221,-0.000001,-0.002050,0.100191,0.000190,-0.021041,3.776140,-0.243021,0.734534,1.153536,0.013957,0.071007
0.133333,0.013563,-0.000001,-0.002756,0.100338,0.000250,-0.021345,3.809626,-0.237434,0.747722,1.157091,0.016126,0.071412
0.166667,0.016911,-0.000002,-0.003473,0.100527,0.000307,-0.021609,3.844403,-0.231755,0.761312,1.160889,0.018327,0.071843
0.200000,0.020266,-0.000004,-0.004197,0.100757,0.000363,-0.021834,3.880459,-0.226010,0.775278,1.164951,0.020556,0.072303
0.233333,0.023629,-0.000006,-0.004928,0.101027,0.000417,-0.022022,3.917781,-0.220224,0.789597,1.169293,0.022806,0.072793
0.266667,0.027001,-0.000009,-0.005665,0.101338,0.000469,-0.022173,3.956357,-0.214419,0.804246,1.173933,0.025073,0.073315
0.300000,0.030385,-0.000013,-0.006407,0.101689,0.000518,-0.022290,3.996176,-0.208615,0.819204,1.178884,0.027352,0.073870
0.333333,0.033781,-0.000018,-0.007151,0.102080,0.000566,-0.022374,4.037226,-0.202831,0.834452,1.184161,0.029640,0.074460
0.366667,0.037191,-0.000024,-0.007898,0.102509,0.000612,-0.022426,4.079495,-0.197083,0.849974,1.189773,0.031934,0.075085
0.400000,0.040616,-0.000032,-0.008646,0.102978,0.000657,-0.022448,4.122971,-0.191387,0.865754,1.195731,0.034230,0.075745
0.433333,0.044057,-0.000040,-0.009395,0.103485,0.000699,-0.022441,4.167641,-0.185755,0.881777,1.202044,0.036526,0.076442
0.466667,0.047515,-0.000050,-0.010142,0.104031,0.000740,-0.022408,4.213496,-0.180198,0.898030,1.208717,0.038820,0.077176
0.500000,0.050993,-0.000061,-0.010889,0.104615,0.000779,-0.022348,4.260521,-0.174728,0.914503,1.215758,0.041110,0.077947
0.533333,0.054490,-0.000074,-0.011632,0.105236,0.000816,-0.022265,4.308707,-0.169352,0.931184,1.223169,0.043394,0.078754
0.566667,0.058009,-0.000088,-0.012373,0.105895,0.000851,-0.022159,4.358041,-0.164077,0.948065,1.230956,0.045671,0.079597
0.600000,0.061550,-0.000105,-0.013110,0.106590,0.000885,-0.022032,4.408511,-0.158909,0.965137,1.239119,0.047940,0.080477
0.633333,0.065116,-0.000123,-0.013842,0.107322,0.000917,-0.021885,4.460106,-0.153854,0.982394,1.247659,0.050200,0.081393
0.666667,0.068706,-0.000142,-0.014569,0.108091,0.000947,-0.021720,4.512815,-0.148915,0.999829,1.256579,0.052451,0.082344
0.700000,0.072322,-0.000164,-0.015290,0.108895,0.000976,-0.021538,4.566625,-0.144095,1.017437,1.265876,0.054691,0.083329
0.733333,0.075966,-0.000188,-0.016004,0.109736,0.001003,-0.021340,4.621525,-0.139395,1.035213,1.275550,0.056920,0.084348
0.766667,0.079638,-0.000215,-0.016712,0.110611,0.001029,-0.021127,4.677504,-0.134818,1.053153,1.285598,0.059138,0.085400
0.800000,0.083341,-0.000243,-0.017413,0.111522,0.001053,-0.020901,4.734549,-0.130364,1.071255,1.296020,0.061345,0.086483
0.833333,0.087074,-0.000274,-0.018106,0.112467,0.001076,-0.020664,4.792651,-0.126032,1.089515,1.306810,0.063541,0.087598
0.866667,0.090839,-0.000307,-0.018790,0.113446,0.001097,-0.020415,4.851796,-0.121821,1.107931,1.317968,0.065725,0.088743
0.900000,0.094637,-0.000343,-0.019467,0.114460,0.001118,-0.020156,4.911975,-0.117732,1.126500,1.329487,0.067897,0.089917
0.933333,0.098470,-0.000381,-0.020134,0.115507,0.001136,-0.019888,4.973174,-0.113763,1.145222,1.341365,0.070057,0.091119
0.966667,0.102338,-0.000422,-0.020793,0.116587,0.001154,-0.019612,5.035384,-0.109910,1.164096,1.353596,0.072206,0.092347
1.000000,0.106243,-0.000466,-0.021442,0.117701,0.001170,-0.019329,5.098593,-0.106174,1.183119,1.366177,0.074344,0.093602
1.033333,0.110185,-0.000513,-0.022081,0.118847,0.001185,-0.019040,5.162789,-0.102550,1.202292,1.379103,0.076470,0.094881
1.066667,0.114166,-0.000562,-0.022711,0.120026,0.001199,-0.018745,5.227962,-0.099037,1.221614,1.392367,0.078585,0.096184
1.100000,0.118187,-0.000614,-0.023331,0.121237,0.001212,-0.018445,5.294100,-0.095632,1.241083,1.405966,0.080688,0.097509
1.133333,0.122248,-0.000670,-0.023941,0.122479,0.001224,-0.018142,5.361191,-0.092332,1.260701,1.419894,0.082781,0.098856
1.166667,0.126352,-0.000728,-0.024540,0.123753,0.001234,-0.017835,5.429226,-0.089134,1.280467,1.434146,0.084863,0.100223
1.200000,0.130498,-0.000790,-0.025130,0.125058,0.001244,-0.017525,5.498192,-0.086034,1.300381,1.448716,0.086935,0.101609
1.233333,0.134689,-0.000855,-0.025709,0.126394,0.001253,-0.017214,5.568080,-0.083031,1.320442,1.463598,0.088996,0.103014
