t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms
0.000000,0.000213,0.000000,0.000000,-0.000012,-0.000000,-0.000000,-0.000012,0.000000,0.000000,0.000213,0.000000,0.000000,0.100000,-0.000000,-0.019897,3.683546,-0.252445,6.805151,-0.752119,0.059109,0.171516,0.059109,0.171516,-0.000000,0.000000,0.000000,0.000000,-0.100012,-0.000000,0.019897,10.014945
0.032000,0.000334,0.000002,-0.000056,0.003026,0.000055,-0.001411,0.003026,-0.000055,0.001411,0.003547,-0.000000,-0.000670,0.100021,0.000065,-0.020307,3.713088,-0.251607,7.163184,-0.803823,0.064532,0.180039,0.064532,0.180039,-0.003213,0.000002,0.003213,0.000614,-0.096995,-0.000010,0.018896,3.814602
0.068000,0.000803,0.000009,-0.000267,0.012475,0.000183,-0.005611,0.012475,-0.000183,0.005611,0.010219,-0.000001,-0.002050,0.100191,0.000190,-0.021041,3.776140,-0.243021,7.418594,-0.736837,0.078348,0.180419,0.078348,0.180419,-0.009416,0.000010,0.009416,0.001783,-0.087716,-0.000007,0.015430,3.590583
0.100000,0.001631,0.000017,-0.000638,0.022456,0.000233,-0.010030,0.022456,-0.000233,0.010030,0.010219,-0.000001,-0.002050,0.100191,0.000190,-0.021041,3.776140,-0.243021,7.418594,-0.736837,0.078348,0.180419,0.078348,0.180419,-0.008588,0.000018,0.008588,0.001412,-0.077735,0.000043,0.011011,3.590583
0.132000,0.002815,0.000023,-0.001154,0.032332,0.000203,-0.014134,0.032332,-0.000203,0.014134,0.013561,-0.000001,-0.002756,0.100338,0.000250,-0.021345,3.809626,-0.237434,7.375131,-0.644583,0.085661,0.174723,0.085661,0.174723,-0.010746,0.000024,0.010746,0.001602,-0.068006,-0.000047,0.007211,3.551171
0.168000,0.004343,0.000025,-0.001795,0.041930,0.000128,-0.017606,0.041930,-0.000128,0.017606,0.020264,-0.000004,-0.004197,0.100757,0.000363,-0.021834,3.880459,-0.226010,7.209796,-0.464905,0.097091,0.161774,0.097091,0.161774,-0.015921,0.000029,0.015921,0.002402,-0.058827,-0.000235,0.004228,3.536960
0.200000,0.006206,0.000023,-0.002532,0.051218,0.000064,-0.020355,0.051218,-0.000064,0.020355,0.020264,-0.000004,-0.004197,0.100757,0.000363,-0.021834,3.880459,-0.226010,7.209796,-0.464905,0.097091,0.161774,0.097091,0.161774,-0.014058,0.000027,0.014058,0.001665,-0.049539,-0.000299,0.001479,3.536960
0.232000,0.008390,0.000019,-0.003343,0.060196,0.000056,-0.022419,0.060196,-0.000056,0.022419,0.023627,-0.000006,-0.004928,0.101027,0.000417,-0.022022,3.917781,-0.220224,7.096971,-0.391487,0.100472,0.155432,0.100472,0.155432,-0.015237,0.000025,0.015237,0.001585,-0.040831,-0.000361,-0.000397,3.652325
0.268000,0.010886,0.000014,-0.004205,0.068850,0.000116,-0.023879,0.068850,-0.000116,0.023879,0.030383,-0.000013,-0.006407,0.101689,0.000518,-0.022290,3.996176,-0.208615,6.818584,-0.282728,0.102761,0.143561,0.102761,0.143561,-0.019497,0.000027,0.019497,0.002202,-0.032839,-0.000402,-0.001589,3.692856
0.300000,0.013679,0.000009,-0.005101,0.077138,0.000231,-0.024836,0.077138,-0.000231,0.024836,0.033779,-0.000018,-0.007151,0.102080,0.000566,-0.022374,4.037226,-0.202831,6.657535,-0.245010,0.102031,0.138022,0.102031,0.138022,-0.020100,0.000027,0.020100,0.002050,-0.024942,-0.000335,-0.002462,3.393033
0.332000,0.016756,0.000005,-0.006018,0.085031,0.000370,-0.025452,0.085031,-0.000370,0.025452,0.033779,-0.000018,-0.007151,0.102080,0.000566,-0.022374,4.037226,-0.202831,6.657535,-0.245010,0.102031,0.138022,0.102031,0.138022,-0.017023,0.000023,0.017023,0.001133,-0.017049,-0.000196,-0.003078,3.393033
0.368000,0.020100,0.000002,-0.006949,0.092480,0.000499,-0.025833,0.092480,-0.000499,0.025833,0.040614,-0.000032,-0.008646,0.102978,0.000657,-0.022448,4.122971,-0.191387,6.305226,-0.188283,0.098287,0.127124,0.098287,0.127124,-0.020514,0.000034,0.020514,0.001697,-0.010498,-0.000158,-0.003385,3.764903
0.400000,0.023694,-0.000003,-0.007887,0.099447,0.000598,-0.026054,0.099447,-0.000598,0.026054,0.044055,-0.000040,-0.009395,0.103485,0.000699,-0.022441,4.167641,-0.185755,6.704377,-0.229140,0.104414,0.137870,0.104414,0.137870,-0.020361,0.000037,0.020361,0.001508,-0.004038,-0.000101,-0.003613,3.585346
0.432000,0.023694,-0.000003,-0.007887,0.099447,0.000598,-0.026054,0.099447,-0.000598,0.026054,0.044055,-0.000040,-0.009395,0.103485,0.000699,-0.022441,4.167641,-0.185755,6.704377,-0.229140,0.104414,0.137870,0.104414,0.137870,-0.020361,0.000037,0.020361,0.001508,-0.004038,-0.000101,-0.003613,3.585346
0.468000,0.027536,-0.000012,-0.008836,0.106344,0.000668,-0.026347,0.106344,-0.000668,0.026347,0.050991,-0.000061,-0.010889,0.104615,0.000779,-0.022348,4.260521,-0.174728,6.324978,-0.178377,0.099584,0.126828,0.099584,0.126828,-0.023455,0.000049,0.023455,0.002053,0.001729,-0.000111,-0.003999,3.622481
0.500000,0.031625,-0.000024,-0.009798,0.113201,0.000717,-0.026698,0.113201,-0.000717,0.026698,0.054488,-0.000074,-0.011632,0.105236,0.000816,-0.022265,4.308707,-0.169352,6.107665,-0.148371,0.096832,0.120119,0.096832,0.120119,-0.022863,0.000050,0.022863,0.001834,0.007965,-0.000099,-0.004433,3.702586
0.532000,0.035943,-0.000041,-0.010766,0.119597,0.000754,-0.026890,0.119597,-0.000754,0.026890,0.054488,-0.000074,-0.011632,0.105236,0.000816,-0.022265,4.308707,-0.169352,6.107665,-0.148371,0.096832,0.120119,0.096832,0.120119,-0.018545,0.000033,0.018545,0.000866,0.014361,-0.000062,-0.004625,3.702586
0.568000,0.040474,-0.000064,-0.011734,0.125546,0.000796,-0.026893,0.125546,-0.000796,0.026893,0.061548,-0.000105,-0.013110,0.106590,0.000885,-0.022032,4.408511,-0.158909,5.665090,-0.098791,0.090081,0.106534,0.090081,0.106534,-0.021074,0.000041,0.021074,0.001376,0.018956,-0.000089,-0.004861,3.596234
0.600000,0.045204,-0.000091,-0.012695,0.131065,0.000856,-0.026708,0.131065,-0.000856,0.026708,0.065114,-0.000123,-0.013842,0.107322,0.000917,-0.021885,4.460106,-0.153854,5.442169,-0.080812,0.085949,0.099846,0.085949,0.099846,-0.019910,0.000032,0.019911,0.001147,0.023743,-0.000061,-0.004823,3.481282
0.632000,0.050114,-0.000122,-0.013643,0.136123,0.000937,-0.026352,0.136123,-0.000937,0.026352,0.068704,-0.000142,-0.014569,0.108091,0.000947,-0.021720,4.512815,-0.148915,5.221274,-0.067493,0.081337,0.093336,0.081337,0.093336,-0.018590,0.000020,0.018590,0.000926,0.028032,-0.000010,-0.004632,3.570214
0.668000,0.055188,-0.000157,-0.014573,0.140706,0.001033,-0.025868,0.140706,-0.001033,0.025868,0.072320,-0.000164,-0.015290,0.108895,0.000976,-0.021538,4.566625,-0.144095,5.004631,-0.057932,0.076351,0.087009,0.076351,0.087009,-0.017132,0.000007,0.017132,0.000717,0.031811,0.000057,-0.004330,3.482610
0.700000,0.060410,-0.000194,-0.015483,0.144828,0.001132,-0.025312,0.144828,-0.001132,0.025312,0.075964,-0.000188,-0.016004,0.109736,0.001003,-0.021340,4.621525,-0.139395,4.793548,-0.050857,0.071122,0.080811,0.071122,0.080811,-0.015554,-0.000006,0.015554,0.000521,0.035092,0.000129,-0.003972,3.431627
0.732000,0.065763,-0.000236,-0.016372,0.148491,0.001223,-0.024724,0.148491,-0.001223,0.024724,0.079636,-0.000215,-0.016712,0.110611,0.001029,-0.021127,4.677504,-0.134818,4.589649,-0.045252,0.065780,0.074712,0.065780,0.074712,-0.013873,-0.000021,0.013873,0.000340,0.037880,0.000194,-0.003597,3.379599
0.768000,0.071230,-0.000281,-0.017239,0.151706,0.001297,-0.024127,0.151706,-0.001297,0.024127,0.083339,-0.000243,-0.017413,0.111522,0.001053,-0.020901,4.734549,-0.130364,4.394284,-0.040497,0.060423,0.068706,0.060423,0.068706,-0.012109,-0.000038,0.012109,0.000174,0.040184,0.000244,-0.003226,3.293664
0.800000,0.076798,-0.000331,-0.018085,0.154517,0.001354,-0.023535,0.154517,-0.001354,0.023535,0.087072,-0.000274,-0.018106,0.112467,0.001076,-0.020664,4.792651,-0.126032,4.207549,-0.036257,0.055094,0.062778,0.055094,0.062778,-0.010274,-0.000057,0.010274,0.000021,0.042050,0.000278,-0.002871,5.161038
0.832000,0.082455,-0.000385,-0.018910,0.156996,0.001397,-0.022950,0.156996,-0.001397,0.022950,0.090837,-0.000307,-0.018790,0.113446,0.001097,-0.020415,4.851796,-0.121821,4.668042,-0.068302,0.065748,0.079049,0.065748,0.079049,-0.008382,-0.000078,0.008383,-0.000120,0.043550,0.000300,-0.002535,3.536328
0.868000,0.088207,-0.000445,-0.019719,0.159612,0.001438,-0.022470,0.159612,-0.001438,0.022470,0.094635,-0.000343,-0.019467,0.114460,0.001118,-0.020156,4.911975,-0.117732,4.494140,-0.063854,0.061010,0.073836,0.061010,0.073836,-0.006428,-0.000102,0.006429,-0.000252,0.045152,0.000320,-0.002314,4.020690
0.900000,0.088207,-0.000445,-0.019719,0.159612,0.001438,-0.022470,0.159612,-0.001438,0.022470,0.098468,-0.000381,-0.020134,0.115507,0.001136,-0.019888,4.973174,-0.113763,4.311764,-0.057041,0.056116,0.067968,0.056116,0.067968,-0.010261,-0.000064,0.010262,0.000415,0.044105,0.000302,-0.002582,3.451826
0.932000,0.094057,-0.000509,-0.020512,0.162377,0.001481,-0.022072,0.162377,-0.001481,0.022072,0.102336,-0.000422,-0.020793,0.116587,0.001154,-0.019612,5.035384,-0.109910,4.120309,-0.048295,0.050985,0.061401,0.050985,0.061401,-0.008279,-0.000087,0.008279,0.000281,0.045790,0.000327,-0.002460,3.724766
0.968000,0.099994,-0.000579,-0.021291,0.164800,0.001523,-0.021648,0.164800,-0.001523,0.021648,0.106241,-0.000466,-0.021442,0.117701,0.001170,-0.019329,5.098593,-0.106174,3.937241,-0.040565,0.045842,0.054924,0.045842,0.054924,-0.006247,-0.000113,0.006248,0.000151,0.047099,0.000353,-0.002319,4.876638
1.000000,0.106005,-0.000653,-0.022053,0.166863,0.001564,-0.021185,0.166863,-0.001564,0.021185,0.110183,-0.000513,-0.022081,0.118847,0.001185,-0.019040,5.162789,-0.102550,3.764495,-0.034231,0.040711,0.048664,0.040711,0.048664,-0.004178,-0.000140,0.004180,0.000028,0.048016,0.000379,-0.002145,3.661793
1.032000,0.112077,-0.000732,-0.022796,0.168578,0.001603,-0.020688,0.168578,-0.001603,0.020688,0.114164,-0.000562,-0.022711,0.120026,0.001199,-0.018745,5.227962,-0.099037,3.602989,-0.029252,0.035635,0.042683,0.035635,0.042683,-0.002087,-0.000170,0.002094,-0.000085,0.048552,0.000404,-0.001943,3.704741
1.068000,0.118197,-0.000815,-0.023521,0.169947,0.001641,-0.020165,0.169947,-0.001641,0.020165,0.118185,-0.000614,-0.023331,0.121237,0.001212,-0.018445,5.294100,-0.095632,3.453992,-0.025521,0.030686,0.037054,0.030686,0.037054,0.000012,-0.000201,0.000201,-0.000190,0.048710,0.000429,-0.001720,3.773111
1.100000,0.124355,-0.000902,-0.024227,0.171011,0.001674,-0.019627,0.171011,-0.001674,0.019627,0.122246,-0.000670,-0.023941,0.122479,0.001224,-0.018142,5.361191,-0.092332,3.317290,-0.022757,0.025909,0.031782,0.025909,0.031782,0.002109,-0.000232,0.002122,-0.000286,0.048532,0.000450,-0.001485,3.399046
