t,x,y,psi,u,v,r,tau_u,tau_r,T1,T2,jerk_x,jerk_y
0.000000000,0.000000000,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,1.727386358,-0.541676685,-0.177992754,1.905379112,0.038510319,-0.003066203
0.033333333,0.003333571,-0.000000019,-0.000093713,0.100021335,0.000007677,-0.002811401,1.745384219,-0.529772853,-0.146101839,1.891486058,0.038192654,-0.003029601
0.066666667,0.006668561,-0.000000151,-0.000272207,0.100085106,0.000020484,-0.005354819,1.781626033,-0.493034997,-0.057331208,1.838957241,0.037875904,-0.002993099
0.100000000,0.010006379,-0.000000506,-0.000527334,0.100190958,0.000037686,-0.007653791,1.818358514,-0.459402905,0.025712132,1.792646382,0.037560068,-0.002956697
0.133333333,0.013348422,-0.000001197,-0.000851643,0.100338541,0.000058631,-0.009729272,1.855576944,-0.428505715,0.103739021,1.751837924,0.037245148,-0.002920395
0.166666667,0.016696075,-0.000002331,-0.001238308,0.100527503,0.000082743,-0.011599967,1.893276644,-0.400022657,0.177363982,1.715912662,0.036931142,-0.002884194
0.200000000,0.020050713,-0.000004015,-0.001681062,0.100757495,0.000109516,-0.013282619,1.931452990,-0.373676568,0.247117711,1.684335279,0.036618052,-0.002848093
0.233333333,0.023413697,-0.000006357,-0.002174137,0.101028169,0.000138497,-0.014792257,1.970101428,-0.349228249,0.313457928,1.656643500,0.036305876,-0.002812092
0.266666667,0.026786377,-0.000009460,-0.002712218,0.101339180,0.000169290,-0.016142414,2.009217485,-0.326471546,0.376778847,1.632438638,0.035994615,-0.002776192
0.300000000,0.030170092,-0.000013429,-0.003290395,0.101690183,0.000201540,-0.017345323,2.048796775,-0.305229048,0.437419448,1.611377326,0.035684270,-0.002740391
0.333333333,0.033566170,-0.000018365,-0.003904131,0.102080835,0.000234934,-0.018412076,2.088835006,-0.285348320,0.495670733,1.593164273,0.035374839,-0.002704691
0.366666667,0.036975927,-0.000024369,-0.004549224,0.102510794,0.000269195,-0.019352772,2.129327987,-0.266698587,0.551782095,1.577545892,0.035066323,-0.002669092
0.400000000,0.040400667,-0.000031541,-0.005221779,0.102979721,0.000304075,-0.020176646,2.170271625,-0.249167819,0.605966930,1.564304695,0.034758722,-0.002633592
0.433333333,0.043841683,-0.000039979,-0.005918184,0.103487276,0.000339356,-0.020892170,2.211661934,-0.232660157,0.658407588,1.553254346,0.034452036,-0.002598193
0.466666667,0.047300257,-0.000049780,-0.006635089,0.104033123,0.000374843,-0.021507154,2.253495032,-0.217093640,0.709259747,1.544235285,0.034146265,-0.002562894
0.500000000,0.050777659,-0.000061039,-0.007369383,0.104616924,0.000410364,-0.022028825,2.295767142,-0.202398192,0.758656278,1.537110864,0.033841409,-0.002527695
0.533333333,0.054275149,-0.000073851,-0.008118180,0.105238346,0.000445764,-0.022463896,2.338474596,-0.188513847,0.806710669,1.531763927,0.033537468,-0.002492596
0.566666667,0.057793973,-0.000088309,-0.008878801,0.105897055,0.000480909,-0.022818626,2.381613829,-0.175389174,0.853520041,1.528093787,0.033234442,-0.002457598
0.600000000,0.061335369,-0.000104504,-0.009648763,0.106592718,0.000515677,-0.023098871,2.425181382,-0.162979891,0.899167823,1.526013559,0.032932330,-0.002422699
0.633333333,0.064900562,-0.000122527,-0.010425767,0.107325003,0.000549962,-0.023310125,2.469173900,-0.151247648,0.943726089,1.525447811,0.032631134,-0.002387902
0.666666667,0.068490766,-0.000142466,-0.011207686,0.108093581,0.000583669,-0.023457561,2.513588131,-0.140158953,0.987257617,1.526330514,0.032330853,-0.002353204
0.700000000,0.072107183,-0.000164411,-0.011992555,0.108898121,0.000616716,-0.023546056,2.558420925,-0.129684246,1.029817681,1.528603243,0.032031486,-0.002318606
0.733333333,0.075751007,-0.000188446,-0.012778562,0.109738295,0.000649030,-0.023580217,2.603669228,-0.119797089,1.071455598,1.532213631,0.031733035,-0.002284109
0.766666667,0.079423417,-0.000214658,-0.013564042,0.110613776,0.000680548,-0.023564406,2.649330087,-0.110473476,1.112216052,1.537114035,0.031435498,-0.002249712
0.800000000,0.083125584,-0.000243130,-0.014347467,0.111524236,0.000711214,-0.023502752,2.695400643,-0.101691249,1.152140227,1.543260417,0.031138876,-0.002215415
0.833333333,0.086858666,-0.000273945,-0.015127439,0.112469351,0.000740981,-0.023399166,2.741878130,-0.093429610,1.191266738,1.550611392,0.030843170,-0.002181219
0.866666667,0.090623810,-0.000307184,-0.015902684,0.113448794,0.000769808,-0.023257353,2.788759872,-0.085668715,1.229632407,1.559127464,0.030548378,-0.002147123
0.900000000,0.094422155,-0.000342928,-0.016672045,0.114462242,0.000797662,-0.023080825,2.836043281,-0.078389356,1.267272879,1.568770402,0.030254501,-0.002113127
0.933333333,0.098254826,-0.000381256,-0.017434475,0.115509372,0.000824513,-0.022872899,2.883725856,-0.071572712,1.304223097,1.579502758,0.029961540,-0.002079231
0.966666667,0.102122938,-0.000422244,-0.018189032,0.116589861,0.000850340,-0.022636714,2.931805177,-0.065200161,1.340517664,1.591287514,0.029669493,-0.002045435
1.000000000,0.106027595,-0.000465970,-0.018934873,0.117703386,0.000875124,-0.022375230,2.980278906,-0.059253153,1.376191082,1.604087824,0.029378361,-0.002011740
1.033333333,0.109969891,-0.000512509,-0.019671248,0.118849628,0.000898852,-0.022091232,3.029144781,-0.053713128,1.411277913,1.617866868,0.029088144,-0.001978145
1.066666667,0.113950909,-0.000561934,-0.020397492,0.120028266,0.000921515,-0.021787342,3.078400614,-0.048561481,1.445812843,1.632587771,0.028798842,-0.001944650
1.100000000,0.117971720,-0.000614318,-0.021113026,0.121238980,0.000943107,-0.021466012,3.128044290,-0.043779554,1.479830694,1.648213596,0.028510455,-0.001911255
1.133333333,0.122033385,-0.000669733,-0.021817344,0.122481453,0.000963627,-0.021129537,3.178073762,-0.039348667,1.513366367,1.664707395,0.028222982,-0.001877961
1.166666667,0.126136956,-0.000728249,-0.022510013,0.123755365,0.000983076,-0.020780057,3.228487048,-0.035250160,1.546454755,1.682032294,0.027936425,-0.001844767
1.200000000,0.130283473,-0.000789934,-0.023190665,0.125060400,0.001001459,-0.020419558,3.279282232,-0.031465461,1.579130614,1.700151618,0.027650783,-0.001811673
1.233333333,0.134473964,-0.000854857,-0.023858994,0.126396243,0.001018782,-0.020049881,3.330457453,-0.027976158,1.611428423,1.719029030,0.027366055,-0.001778679
1.266666667,0.138709449,-0.000923083,-0.024514751,0.127762576,0.001035055,-0.019672724,3.382010913,-0.024764081,1.643382224,1.738628689,0.027082243,-0.001745786
1.300000000,0.142990936,-0.000994679,-0.025157740,0.129159086,0.001050289,-0.019289648,3.433940863,-0.021811386,1.675025460,1.758915404,0.026799346,-0.001712993
1.333333333,0.147319422,-0.001069708,-0.025787809,0.130585459,0.001064498,-0.018902085,3.486245611,-0.019100635,1.706390815,1.779854796,0.026517363,-0.001680300
1.366666667,0.151695896,-0.001148233,-0.026404854,0.132041381,0.001077697,-0.018511340,3.538923509,-0.016614878,1.737510067,1.801413443,0.026236296,-0.001647707
1.400000000,0.156121333,-0.001230316,-0.027008807,0.133526541,0.001089903,-0.018118598,3.591972959,-0.014337718,1.768413945,1.823559014,0.025956143,-0.001615215
1.433333333,0.160596701,-0.001316016,-0.027599638,0.135040627,0.001101133,-0.017724931,3.645392403,-0.012253379,1.799132012,1.846260392,0.025676905,-0.001582823
1.466666667,0.165122956,-0.001405394,-0.028177348,0.136583329,0.001111407,-0.017331306,3.699180328,-0.010346757,1.829692555,1.869487773,0.025398583,-0.001550531
1.500000000,0.169701043,-0.001498507,-0.028741968,0.138154337,0.001120744,-0.016938586,3.753335255,-0.008603463,1.860122506,1.893212749,0.025121175,-0.001518339
1.533333333,0.174331898,-0.001595413,-0.029293553,0.139753341,0.001129166,-0.016547543,3.807855744,-0.007009857,1.890447378,1.917408366,0.024844682,-0.001486247
1.566666667,0.179016447,-0.001696166,-0.029832181,0.141380036,0.001136693,-0.016158860,3.862740387,-0.005553067,1.920691218,1.942049168,0.024569104,-0.001454256
1.600000000,0.183755604,-0.001800822,-0.030357953,0.143034112,0.001143348,-0.015773139,3.917987807,-0.004221004,1.950876587,1.967111219,0.024294441,-0.001422365
1.633333333,0.188550274,-0.001909433,-0.030870983,0.144715264,0.001149153,-0.015390904,3.973596656,-0.003002364,1.981024552,1.992572104,0.024020693,-0.001390574
1.666666667,0.193401352,-0.002022051,-0.031371403,0.146423188,0.001154130,-0.015012614,4.029565611,-0.001886618,2.011154694,2.018410917,0.023747860,-0.001358884
1.700000000,0.198309723,-0.002138728,-0.031859359,0.148157578,0.001158301,-0.014638662,4.085893376,-0.000864004,2.041285142,2.044608234,0.023475942,-0.001327293
1.733333333,0.203276261,-0.002259514,-0.032335005,0.149918131,0.001161690,-0.014269382,4.142578673,0.000074497,2.071432600,2.071146072,0.023204939,-0.001295803
1.766666667,0.208301831,-0.002384456,-0.032798507,0.151704545,0.001164318,-0.013905057,4.199620245,0.000937187,2.101612405,2.098007840,0.022934850,-0.001264413
