t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms
6.0763e-05,0.000211557,4.77331e-18,7.28348e-18,3.03508e-05,1.39182e-18,5.01518e-18,3.03508e-05,-1.39182e-18,-5.01518e-18,0.00021,0,0,0.1,-0,0,1.72739,-0.541677,3.22661,-0.675672,0.0636442,0.15528,0.0636442,0.15528,1.5575e-06,4.77331e-18,1.5575e-06,7.28348e-18,-0.0999696,1.39182e-18,5.01518e-18,0.021733
0.0306559,0.000298576,1.35075e-06,-3.36439e-05,0.0021793,3.38114e-05,-0.000840975,0.0021793,-3.38114e-05,0.000840975,0.003544,-0,-9.4e-05,0.100021,8e-06,-0.002811,1.74538,-0.529773,3.31193,-0.238441,0.0967932,0.128945,0.0967932,0.128945,-0.00324542,1.35075e-06,0.00324542,6.03561e-05,-0.0978417,2.58114e-05,0.00197003,0.020503
0.0639712,0.000693722,5.20354e-06,-0.000152877,0.0104883,0.000106398,-0.00320929,0.0104883,-0.000106398,0.00320929,0.006879,-0,-0.000272,0.100085,2e-05,-0.005355,1.78163,-0.493035,3.29778,-0.597336,0.0708242,0.151571,0.0708242,0.151571,-0.00618528,5.20354e-06,0.00618528,0.000119123,-0.0895967,8.63984e-05,0.00214571,0.019705
0.0972951,0.00140042,9.22376e-06,-0.000343403,0.0191504,0.000115243,-0.00514301,0.0191504,-0.000115243,0.00514301,0.010216,-1e-06,-0.000527,0.100191,3.8e-05,-0.007654,1.81836,-0.459403,3.27201,-0.438863,0.0818659,0.141182,0.0818659,0.141182,-0.00881558,1.02238e-05,0.00881559,0.000183597,-0.0810406,7.72434e-05,0.00251099,0.018856
0.130648,0.00140042,9.22376e-06,-0.000343403,0.0191504,0.000115243,-0.00514301,0.0191504,-0.000115243,0.00514301,0.013558,-1e-06,-0.000852,0.100339,5.9e-05,-0.009729,1.85558,-0.428506,3.39455,-0.394493,0.0873175,0.140386,0.0873175,0.140386,-0.0121576,1.02238e-05,0.0121576,0.000508597,-0.0811886,5.62434e-05,0.00458599,0.020618
0.164047,0.00241176,1.26725e-05,-0.000619931,0.0276287,0.000111592,-0.00756895,0.0276287,-0.000111592,0.00756895,0.016906,-2e-06,-0.001238,0.100528,8.3e-05,-0.0116,1.89328,-0.400023,3.36532,-0.58967,0.0726772,0.152186,0.0726772,0.152186,-0.0144942,1.46725e-05,0.0144942,0.000618069,-0.0728993,2.85915e-05,0.00403105,0.039227
0.197368,0.00372218,1.40948e-05,-0.000964949,0.0359396,7.1506e-05,-0.00948436,0.0359396,-7.1506e-05,0.00948436,0.020261,-4e-06,-0.001681,0.100757,0.00011,-0.013283,1.93145,-0.373677,3.33432,-0.182964,0.101048,0.125696,0.101048,0.125696,-0.0165388,1.80948e-05,0.0165388,0.000716051,-0.0648174,-3.8494e-05,0.00379864,0.020174
0.230647,0.00532878,1.44069e-05,-0.0013928,0.0441722,6.19052e-05,-0.0117533,0.0441722,-6.19052e-05,0.0117533,0.023624,-6e-06,-0.002174,0.101028,0.000138,-0.014792,1.9701,-0.349228,3.29704,-0.266279,0.0945772,0.130506,0.0945772,0.130506,-0.0182952,2.04069e-05,0.0182952,0.000781199,-0.0568558,-7.60948e-05,0.00303869,0.020575
0.264027,0.00722221,1.25685e-05,-0.0018602,0.0521577,3.79832e-05,-0.0129543,0.0521577,-3.79832e-05,0.0129543,0.026996,-9e-06,-0.002712,0.101339,0.000169,-0.016142,2.00922,-0.326472,3.25786,-0.525674,0.0753131,0.146439,0.0753131,0.146439,-0.0197738,2.15685e-05,0.0197738,0.000851802,-0.0491813,-0.000131017,0.0031877,0.021455
0.297354,0.00939533,1.00085e-05,-0.00236467,0.0599349,5.55349e-05,-0.0139478,0.0599349,-5.55349e-05,0.0139478,0.03038,-1.3e-05,-0.00329,0.10169,0.000202,-0.017345,2.0488,-0.305229,3.21647,-0.284045,0.0918577,0.130299,0.0918577,0.130299,-0.0209847,2.30085e-05,0.0209847,0.000925326,-0.0417551,-0.000146465,0.00339716,0.022206
