t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,cmd_left_ref,cmd_right_ref
0.000000,0.000210,0.000000,0.000000,0.100000,-0.000000,0.000000,1.727386,-0.541677,-0.177993,1.905379,-0.052542,0.121800
0.033333,0.003544,-0.000000,-0.000094,0.100021,0.000008,-0.002811,1.745384,-0.529773,-0.146102,1.891486,-0.050909,0.121322
0.066667,0.006879,-0.000000,-0.000272,0.100085,0.000020,-0.005355,1.781626,-0.493035,-0.057331,1.838957,-0.046332,0.119508
0.100000,0.010216,-0.000001,-0.000527,0.100191,0.000038,-0.007654,1.818359,-0.459403,0.025712,1.792646,0.052316,0.117904
0.133333,0.013558,-0.000001,-0.000852,0.100339,0.000059,-0.009729,1.855577,-0.428506,0.103739,1.751838,0.055409,0.116486
0.166667,0.016906,-0.000002,-0.001238,0.100528,0.000083,-0.011600,1.893277,-0.400023,0.177364,1.715913,0.058310,0.115234
0.200000,0.020261,-0.000004,-0.001681,0.100757,0.000110,-0.013283,1.931453,-0.373677,0.247118,1.684335,0.061042,0.114131
0.233333,0.023624,-0.000006,-0.002174,0.101028,0.000138,-0.014792,1.970101,-0.349228,0.313458,1.656643,0.063626,0.113161
0.266667,0.026996,-0.000009,-0.002712,0.101339,0.000169,-0.016142,2.009217,-0.326472,0.376779,1.632439,0.066079,0.112312
0.300000,0.030380,-0.000013,-0.003290,0.101690,0.000202,-0.017345,2.048797,-0.305229,0.437419,1.611377,0.068417,0.111573
0.333333,0.033776,-0.000018,-0.003904,0.102081,0.000235,-0.018412,2.088835,-0.285348,0.495671,1.593164,0.070652,0.110932
0.366667,0.037186,-0.000024,-0.004549,0.102511,0.000269,-0.019353,2.129328,-0.266699,0.551782,1.577546,0.072795,0.110382
0.400000,0.040611,-0.000032,-0.005222,0.102980,0.000304,-0.020177,2.170272,-0.249168,0.605967,1.564305,0.074856,0.109915
0.433333,0.044052,-0.000040,-0.005918,0.103487,0.000339,-0.020892,2.211662,-0.232660,0.658408,1.553254,0.076842,0.109525
0.466667,0.047510,-0.000050,-0.006635,0.104033,0.000375,-0.021507,2.253495,-0.217094,0.709260,1.544235,0.078760,0.109206
0.500000,0.050988,-0.000061,-0.007369,0.104617,0.000410,-0.022029,2.295767,-0.202398,0.758656,1.537111,0.080616,0.108954
0.533333,0.054485,-0.000074,-0.008118,0.105238,0.000446,-0.022464,2.338475,-0.188514,0.806711,1.531764,0.082414,0.108765
0.566667,0.058004,-0.000088,-0.008879,0.105897,0.000481,-0.022819,2.381614,-0.175389,0.853520,1.528094,0.084160,0.108635
0.600000,0.061545,-0.000105,-0.009649,0.106593,0.000516,-0.023099,2.425181,-0.162980,0.899168,1.526014,0.085856,0.108562
0.633333,0.065111,-0.000123,-0.010426,0.107325,0.000550,-0.023310,2.469174,-0.151248,0.943726,1.525448,0.087506,0.108542
0.666667,0.068701,-0.000142,-0.011208,0.108094,0.000584,-0.023458,2.513588,-0.140159,0.987258,1.526331,0.089112,0.108573
0.700000,0.072317,-0.000164,-0.011993,0.108898,0.000617,-0.023546,2.558421,-0.129684,1.029818,1.528603,0.090678,0.108653
0.733333,0.075961,-0.000188,-0.012779,0.109738,0.000649,-0.023580,2.603669,-0.119797,1.071456,1.532214,0.092204,0.108781
0.766667,0.079633,-0.000215,-0.013564,0.110614,0.000681,-0.023564,2.649330,-0.110473,1.112216,1.537114,0.093694,0.108954
0.800000,0.083336,-0.000243,-0.014347,0.111524,0.000711,-0.023503,2.695401,-0.101691,1.152140,1.543260,0.095148,0.109172
