t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r,solve_ms
0.000000,0.000215,0.000000,-0.000000,-0.000007,-0.000000,-0.000000,-0.000007,0.000000,0.000000,0.000215,0.000000,0.000000,0.100000,0.000000,0.000000,1.727386,-0.541677,2.582457,-0.647445,0.053128,0.143041,0.053128,0.143041,-0.000000,0.000000,0.000000,-0.000000,-0.100007,-0.000000,-0.000000,11.274525
0.032000,0.000293,0.000001,-0.000031,0.001961,0.000032,-0.000771,0.001961,-0.000032,0.000771,0.003549,-0.000000,-0.000094,0.100021,0.000008,-0.002811,1.745384,-0.529773,2.996943,-0.704343,0.056996,0.153359,0.056996,0.153359,-0.003256,0.000001,0.003256,0.000063,-0.098060,0.000024,0.002040,3.962194
0.068000,0.000667,0.000006,-0.000174,0.009901,0.000134,-0.003789,0.009901,-0.000134,0.003789,0.006884,-0.000000,-0.000272,0.100085,0.000020,-0.005355,1.781626,-0.493035,3.337524,-0.710414,0.063203,0.159189,0.063203,0.159189,-0.006217,0.000006,0.006217,0.000098,-0.090184,0.000114,0.001566,3.791749
0.100000,0.001355,0.000013,-0.000439,0.018620,0.000184,-0.007161,0.018620,-0.000184,0.007161,0.010221,-0.000001,-0.000527,0.100191,0.000038,-0.007654,1.818359,-0.459403,3.346842,-0.655144,0.067497,0.155942,0.067497,0.155942,-0.008866,0.000014,0.008866,0.000088,-0.081571,0.000146,0.000493,3.849844
0.132000,0.002355,0.000018,-0.000818,0.027300,0.000166,-0.010371,0.027300,-0.000166,0.010371,0.013563,-0.000001,-0.000852,0.100339,0.000059,-0.009729,1.855577,-0.428506,3.284011,-0.584163,0.071530,0.150527,0.071530,0.150527,-0.011208,0.000019,0.011208,0.000034,-0.073039,0.000107,-0.000642,3.909068
0.168000,0.003656,0.000020,-0.001297,0.035680,0.000106,-0.013149,0.035680,-0.000106,0.013149,0.016911,-0.000002,-0.001238,0.100528,0.000083,-0.011600,1.893277,-0.400023,3.185125,-0.511533,0.074965,0.144356,0.074965,0.144356,-0.013255,0.000022,0.013255,-0.000059,-0.064848,0.000023,-0.001549,3.682318
0.200000,0.005246,0.000019,-0.001857,0.043726,0.000049,-0.015432,0.043726,-0.000049,0.015432,0.020266,-0.000004,-0.001681,0.100757,0.000110,-0.013283,1.931453,-0.373677,3.061688,-0.445869,0.077408,0.138141,0.077408,0.138141,-0.015020,0.000023,0.015020,-0.000176,-0.057031,-0.000061,-0.002149,4.125648
0.232000,0.007113,0.000016,-0.002480,0.051441,0.000031,-0.017226,0.051441,-0.000031,0.017226,0.023629,-0.000006,-0.002174,0.101028,0.000138,-0.014792,1.970101,-0.349228,2.916775,-0.390194,0.078713,0.132131,0.078713,0.132131,-0.016516,0.000022,0.016516,-0.000306,-0.049587,-0.000107,-0.002434,4.146501
0.268000,0.009245,0.000013,-0.003150,0.058813,0.000066,-0.018559,0.058813,-0.000066,0.018559,0.027001,-0.000009,-0.002712,0.101339,0.000169,-0.016142,2.009217,-0.326472,2.752352,-0.345481,0.078855,0.126431,0.078855,0.126431,-0.017756,0.000022,0.017756,-0.000438,-0.042526,-0.000103,-0.002417,3.773281
0.300000,0.011629,0.000010,-0.003856,0.065846,0.000146,-0.019538,0.065846,-0.000146,0.019538,0.030385,-0.000013,-0.003290,0.101690,0.000202,-0.017345,2.048797,-0.305229,2.571415,-0.311949,0.077876,0.121119,0.077876,0.121119,-0.018756,0.000023,0.018756,-0.000566,-0.035844,-0.000056,-0.002193,4.078534
0.332000,0.014253,0.000008,-0.004586,0.072519,0.000250,-0.020265,0.072519,-0.000250,0.020265,0.033781,-0.000018,-0.003904,0.102081,0.000235,-0.018412,2.088835,-0.285348,2.376548,-0.287130,0.075998,0.116089,0.075998,0.116089,-0.019528,0.000026,0.019528,-0.000682,-0.029562,0.000015,-0.001853,3.801520
0.368000,0.017102,0.000006,-0.005337,0.078798,0.000350,-0.020823,0.078798,-0.000350,0.020823,0.040616,-0.000032,-0.005222,0.102980,0.000304,-0.020177,2.170272,-0.249168,1.961186,-0.252784,0.070606,0.106459,0.070606,0.106459,-0.023514,0.000038,0.023514,-0.000115,-0.024182,0.000046,-0.000646,3.658398
0.400000,0.020161,0.000004,-0.006104,0.084670,0.000427,-0.021276,0.084670,-0.000427,0.021276,0.040616,-0.000032,-0.005222,0.102980,0.000304,-0.020177,2.170272,-0.249168,1.961186,-0.252784,0.070606,0.106459,0.070606,0.106459,-0.020455,0.000036,0.020455,-0.000882,-0.018310,0.000123,-0.001099,3.658398
0.432000,0.020161,0.000004,-0.006104,0.084670,0.000427,-0.021276,0.084670,-0.000427,0.021276,0.044057,-0.000040,-0.005918,0.103487,0.000339,-0.020892,2.211662,-0.232660,1.748466,-0.238744,0.067558,0.101697,0.067558,0.101697,-0.023896,0.000044,0.023896,-0.000186,-0.018817,0.000088,-0.000384,3.950062
