t,x,y,psi,u,v,r,tau_u,tau_r,T1_plan,T2_plan,jx,jy
0.000000000,0.000000014,-0.000000001,-0.000000000,0.100000000,0.000000000,-0.000000000,15.188342793,-1.104529269,5.470076648,9.718266145,0.038510352,-0.003066191
0.033333333,0.003333584,-0.000000020,-0.000036257,0.100021336,0.000001930,-0.002134356,15.223741430,-1.138615911,5.422224733,9.801516697,0.038192686,-0.003029589
0.066666667,0.006668574,-0.000000151,-0.000141074,0.100085108,0.000007360,-0.004115316,15.297471490,-1.129748564,5.476142352,9.821329138,0.037875935,-0.002993087
0.100000000,0.010006392,-0.000000507,-0.000309472,0.100190964,0.000015858,-0.005950811,15.377050465,-1.119824021,5.535017501,9.842032965,0.037560099,-0.002956685
0.133333333,0.013348435,-0.000001198,-0.000536726,0.100338554,0.000027033,-0.007648299,15.462427901,-1.108869131,5.598773315,9.863654587,0.037245178,-0.002920384
0.166666667,0.016696089,-0.000002331,-0.000818356,0.100527529,0.000040527,-0.009214815,15.553553262,-1.096920625,5.667313890,9.886239372,0.036931172,-0.002884183
0.200000000,0.020050727,-0.000004016,-0.001150106,0.100757539,0.000056018,-0.010657015,15.650375979,-1.084023765,5.740526903,9.909849076,0.036618081,-0.002848082
0.233333333,0.023413710,-0.000006357,-0.001527940,0.101028238,0.000073213,-0.011981214,15.752845488,-1.070231024,5.818286160,9.934559328,0.036305905,-0.002812082
0.266666667,0.026786390,-0.000009461,-0.001948024,0.101339281,0.000091847,-0.013193425,15.860911261,-1.055600811,5.900454071,9.960457190,0.035994644,-0.002776181
0.300000000,0.030170106,-0.000013429,-0.002406723,0.101690322,0.000111680,-0.014299381,15.974522832,-1.040196247,5.986884019,9.987638813,0.035684298,-0.002740381
0.333333333,0.033566184,-0.000018365,-0.002900587,0.102081020,0.000132492,-0.015304570,16.093629815,-1.024083997,6.077422605,10.016207210,0.035374867,-0.002704681
0.366666667,0.036975941,-0.000024370,-0.003426344,0.102511033,0.000154088,-0.016214250,16.218181924,-1.007333183,6.171911765,10.046270159,0.035066350,-0.002669081
0.400000000,0.040400681,-0.000031542,-0.003980896,0.102980021,0.000176290,-0.017033468,16.348128985,-0.990014358,6.270190726,10.077938259,0.034758749,-0.002633582
0.433333333,0.043841697,-0.000039980,-0.004561310,0.103487643,0.000198938,-0.017767079,16.483420943,-0.972198583,6.372097812,10.111323130,0.034452062,-0.002598183
0.466666667,0.047300271,-0.000049780,-0.005164809,0.104033564,0.000221886,-0.018419756,16.624007876,-0.953956568,6.477472076,10.146535801,0.034146291,-0.002562884
0.500000000,0.050777673,-0.000061040,-0.005788772,0.104617445,0.000245006,-0.018996000,16.769839998,-0.935357928,6.586154753,10.183685245,0.033841434,-0.002527685
0.533333333,0.054275163,-0.000073852,-0.006430723,0.105238952,0.000268180,-0.019500149,16.920867663,-0.916470507,6.697990549,10.222877115,0.033537493,-0.002492587
0.566666667,0.057793987,-0.000088309,-0.007088330,0.105897750,0.000291304,-0.019936388,17.077041370,-0.897359813,6.812828737,10.264212633,0.033234466,-0.002457588
0.600000000,0.061335384,-0.000104504,-0.007759397,0.106593506,0.000314285,-0.020308747,17.238311764,-0.878088528,6.930524097,10.307787667,0.032932354,-0.002422690
0.633333333,0.064900576,-0.000122527,-0.008441860,0.107325888,0.000337040,-0.020621113,17.404629639,-0.858716118,7.050937670,10.353691969,0.032631158,-0.002387893
0.666666667,0.068490780,-0.000142467,-0.009133781,0.108094564,0.000359495,-0.020877227,17.575945939,-0.839298516,7.173937361,10.402008578,0.032330876,-0.002353195
0.700000000,0.072107198,-0.000164411,-0.009833347,0.108899204,0.000381584,-0.021080689,17.752211755,-0.819887894,7.299398389,10.452813366,0.032031509,-0.002318598
0.733333333,0.075751022,-0.000188446,-0.010538859,0.109739480,0.000403251,-0.021234963,17.933378331,-0.800532497,7.427203594,10.506174738,0.031733057,-0.002284101
