t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
0.000000000,15.188342793,-1.104529269,5.470076648,9.718266145
0.033333333,15.223741430,-1.138615911,5.422224733,9.801516697
0.066666667,15.297471490,-1.129748564,5.476142352,9.821329138
0.100000000,15.377050465,-1.119824021,5.535017501,9.842032965
0.133333333,15.462427901,-1.108869131,5.598773315,9.863654587
0.166666667,15.553553262,-1.096920625,5.667313890,9.886239372
0.200000000,15.650375979,-1.084023765,5.740526903,9.909849076
0.233333333,15.752845488,-1.070231024,5.818286160,9.934559328
0.266666667,15.860911261,-1.055600811,5.900454071,9.960457190
0.300000000,15.974522832,-1.040196247,5.986884019,9.987638813
0.333333333,16.093629815,-1.024083997,6.077422605,10.016207210
0.366666667,16.218181924,-1.007333183,6.171911765,10.046270159
0.400000000,16.348128985,-0.990014358,6.270190726,10.077938259
0.433333333,16.483420943,-0.972198583,6.372097812,10.111323130
0.466666667,16.624007876,-0.953956568,6.477472076,10.146535801
0.500000000,16.769839998,-0.935357928,6.586154753,10.183685245
0.533333333,16.920867663,-0.916470507,6.697990549,10.222877115
0.566666667,17.077041370,-0.897359813,6.812828737,10.264212633
0.600000000,17.238311764,-0.878088528,6.930524097,10.307787667
0.633333333,17.404629639,-0.858716118,7.050937670,10.353691969
0.666666667,17.575945939,-0.839298516,7.173937361,10.402008578
0.700000000,17.752211755,-0.819887894,7.299398389,10.452813366
0.733333333,17.933378331,-0.800532497,7.427203594,10.506174738
0.766666667,18.119397059,-0.781276559,7.557243608,10.562153451
0.800000000,18.310219478,-0.762160267,7.689416919,10.620802560
0.833333333,18.505797278,-0.743219785,7.823629822,10.682167456
0.866666667,18.706082294,-0.724487329,7.959796283,10.746286011
0.900000000,18.911026509,-0.705991276,8.097837724,10.813188785
0.933333333,19.120582051,-0.687756308,8.237682741,10.882899310
0.966666667,19.334701193,-0.669803590,8.379266769,10.955434424
1.000000000,19.553336352,-0.652150962,8.522531711,11.030804640
1.033333333,19.776440087,-0.634813146,8.667425532,11.109014555
1.066666667,20.003965103,-0.617801975,8.813901831,11.190063272
1.100000000,20.235864245,-0.601126611,8.961919408,11.273944837
1.133333333,20.472090499,-0.584793783,9.111441821,11.360648679
1.166666667,20.712596995,-0.568808006,9.262436948,11.450160047
1.200000000,20.957337001,-0.553171808,9.414876562,11.542460439
1.233333333,21.206263929,-0.537885945,9.568735917,11.637528012
1.266666667,21.459331329,-0.522949606,9.723993345,11.735337984
1.300000000,21.716492895,-0.508360610,9.880629890,11.835863004
1.333333333,21.977702458,-0.494115586,10.038628948,11.939073511
1.366666667,22.242913995,-0.480210151,10.197975938,12.044938057
1.400000000,22.512081620,-0.466639058,10.358658006,12.153423614
1.433333333,22.785159591,-0.453396350,10.520663739,12.264495852
1.466666667,23.062102307,-0.440475483,10.683982917,12.378119390
1.500000000,23.342864310,-0.427869452,10.848606285,12.494258025
1.533333333,23.627400284,-0.415570892,11.014525349,12.612874935
1.566666667,23.915665057,-0.403572174,11.181732194,12.733932863
1.600000000,24.207613600,-0.391865485,11.350219328,12.857394272
1.633333333,24.503201028,-0.380442907,11.519979538,12.983221489
1.666666667,24.802382601,-0.369296472,11.691005777,13.111376824
1.700000000,25.105113725,-0.358418221,11.863291052,13.241822673
1.733333333,25.411349950,-0.347800247,12.036828346,13.374521604
1.766666667,25.721046974,-0.337434734,12.211610537,13.509436437
1.800000000,26.034160641,-0.327313988,12.387630343,13.646530298
