t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_plan,tau_r_plan,T1_plan,T2_plan
0.000000000,0.000000014,-0.000000001,-0.000000000,0.100000000,0.000000000,-0.000000000,0.000000014,-0.000000001,-0.000000000,0.100000000,0.000000000,-0.000000000,15.188342793,-1.104529269,5.470076648,9.718266145
0.033333333,0.003333584,-0.000000020,-0.000036257,0.100021336,0.000001930,-0.002134356,0.003333691,-0.000000017,-0.000034794,0.100020304,0.000002031,-0.002064632,15.223741430,-1.138615911,5.422224733,9.801516697
0.066666667,0.006668574,-0.000000151,-0.000141074,0.100085108,0.000007360,-0.004115316,0.006668389,-0.000000130,-0.000137234,0.100060897,0.000007874,-0.004059590,15.297471490,-1.129748564,5.476142352,9.821329138
0.100000000,0.010006392,-0.000000507,-0.000309472,0.100190964,0.000015858,-0.005950811,0.010005159,-0.000000441,-0.000303723,0.100143911,0.000017131,-0.005909109,15.377050465,-1.119824021,5.535017501,9.842032965
0.133333333,0.013348435,-0.000001198,-0.000536726,0.100338554,0.000027033,-0.007648299,0.013345408,-0.000001050,-0.000529536,0.100268979,0.000029364,-0.007620632,15.462427901,-1.108869131,5.598773315,9.863654587
0.166666667,0.016696089,-0.000002331,-0.000818356,0.100527529,0.000040527,-0.009214815,0.016690534,-0.000002057,-0.000810192,0.100435736,0.000044176,-0.009201167,15.553553262,-1.096920625,5.667313890,9.886239372
0.200000000,0.020050727,-0.000004016,-0.001150106,0.100757539,0.000056018,-0.010657015,0.020041917,-0.000003563,-0.001141437,0.100643821,0.000061203,-0.010657339,15.650375979,-1.084023765,5.740526903,9.909849076
0.233333333,0.023413710,-0.000006357,-0.001527940,0.101028238,0.000073213,-0.011981214,0.023400932,-0.000005669,-0.001519231,0.100892876,0.000080118,-0.011995424,15.752845488,-1.070231024,5.818286160,9.934559328
0.266666667,0.026786390,-0.000009461,-0.001948024,0.101339281,0.000091847,-0.013193425,0.026768936,-0.000008474,-0.001939739,0.101182543,0.000100623,-0.013221391,15.860911261,-1.055600811,5.900454071,9.960457190
0.300000000,0.030170106,-0.000013429,-0.002406723,0.101690322,0.000111680,-0.014299381,0.030147278,-0.000012079,-0.002399318,0.101512469,0.000122447,-0.014340929,15.974522832,-1.040196247,5.986884019,9.987638813
0.333333333,0.033566184,-0.000018365,-0.002900587,0.102081020,0.000132492,-0.015304570,0.033537294,-0.000016583,-0.002894514,0.101882303,0.000145345,-0.015359479,16.093629815,-1.024083997,6.077422605,10.016207210
0.366666667,0.036975941,-0.000024370,-0.003426344,0.102511033,0.000154088,-0.016214250,0.036940307,-0.000022084,-0.003422047,0.102291693,0.000169095,-0.016282250,16.218181924,-1.007333183,6.171911765,10.046270159
0.400000000,0.040400681,-0.000031542,-0.003980896,0.102980021,0.000176290,-0.017033468,0.040357631,-0.000028680,-0.003978809,0.102740293,0.000193496,-0.017114244,16.348128985,-0.990014358,6.270190726,10.077938259
0.433333333,0.043841697,-0.000039980,-0.004561310,0.103487643,0.000198938,-0.017767079,0.043790565,-0.000036471,-0.004561855,0.103227757,0.000218368,-0.017860272,16.483420943,-0.972198583,6.372097812,10.111323130
0.466666667,0.047300271,-0.000049780,-0.005164809,0.104033564,0.000221886,-0.018419756,0.047240400,-0.000045551,-0.005168399,0.103753742,0.000243548,-0.018524964,16.624007876,-0.953956568,6.477472076,10.146535801
