t,tau_u_applied,tau_r_applied,T1_applied,T2_applied,real_x,real_y,real_psi,real_u,real_v,real_r
0.000000,15.188343,-1.048890,5.577075,9.611268,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000
0.033333,15.223742,-1.083753,5.527731,9.696011,0.003334,-0.000000,-0.000033,0.100020,0.000002,-0.001961
0.066667,15.297472,-1.080299,5.571237,9.726235,0.006668,-0.000000,-0.000130,0.100061,0.000007,-0.003860
0.100000,15.377052,-1.075432,5.620388,9.756663,0.010005,-0.000000,-0.000289,0.100144,0.000016,-0.005630
0.133333,15.462430,-1.069195,5.675071,9.787359,0.013345,-0.000001,-0.000504,0.100269,0.000028,-0.007276
0.166667,15.553556,-1.061643,5.735156,9.818400,0.016691,-0.000002,-0.000773,0.100436,0.000042,-0.008805
0.200000,15.650379,-1.052839,5.800500,9.849879,0.020042,-0.000003,-0.001090,0.100644,0.000058,-0.010221
0.233333,15.752849,-1.042849,5.870946,9.881904,0.023401,-0.000005,-0.001453,0.100893,0.000077,-0.011529
0.266667,15.860915,-1.031747,5.946328,9.914587,0.026769,-0.000008,-0.001857,0.101183,0.000096,-0.012734
0.300000,15.974527,-1.019611,6.026474,9.948053,0.030147,-0.000012,-0.002300,0.101512,0.000117,-0.013840
0.333333,16.093634,-1.006519,6.111203,9.982430,0.033537,-0.000016,-0.002779,0.101882,0.000140,-0.014853
0.366667,16.218186,-0.992554,6.200335,10.017850,0.036940,-0.000021,-0.003289,0.102292,0.000163,-0.015775
0.400000,16.348133,-0.977798,6.293685,10.054448,0.040358,-0.000027,-0.003829,0.102740,0.000186,-0.016612
0.433333,16.483424,-0.962335,6.391068,10.092357,0.043791,-0.000035,-0.004396,0.103228,0.000211,-0.017368
0.466667,16.624011,-0.946246,6.492301,10.131710,0.047240,-0.000044,-0.004986,0.103754,0.000235,-0.018046
0.500000,16.769842,-0.929613,6.597205,10.172638,0.050708,-0.000054,-0.005598,0.104318,0.000260,-0.018650
0.533333,16.920870,-0.912512,6.705603,10.215266,0.054196,-0.000065,-0.006229,0.104920,0.000285,-0.019185
0.566667,17.077043,-0.895022,6.817326,10.259717,0.057704,-0.000078,-0.006876,0.105560,0.000310,-0.019653
0.600000,17.238313,-0.877213,6.932209,10.306104,0.061234,-0.000093,-0.007538,0.106236,0.000335,-0.020058
0.633333,17.404630,-0.859156,7.050093,10.354538,0.064787,-0.000110,-0.008212,0.106950,0.000359,-0.020404
0.666667,17.575946,-0.840915,7.170828,10.405118,0.068365,-0.000128,-0.008897,0.107700,0.000383,-0.020694
0.700000,17.752212,-0.822553,7.294273,10.457939,0.071968,-0.000148,-0.009591,0.108486,0.000407,-0.020931
0.733333,17.933378,-0.804126,7.420292,10.513086,0.075598,-0.000170,-0.010292,0.109308,0.000431,-0.021119
0.766667,18.119397,-0.785687,7.548761,10.570636,0.079257,-0.000194,-0.010998,0.110165,0.000453,-0.021261
0.800000,18.310219,-0.767285,7.679561,10.630658,0.082944,-0.000221,-0.011709,0.111058,0.000476,-0.021359
0.833333,18.505797,-0.748964,7.812583,10.693213,0.086661,-0.000249,-0.012422,0.111985,0.000497,-0.021416
0.866667,18.706082,-0.730763,7.947728,10.758354,0.090410,-0.000280,-0.013136,0.112947,0.000519,-0.021436
0.900000,18.911026,-0.712718,8.084902,10.826124,0.094192,-0.000314,-0.013850,0.113943,0.000539,-0.021421
0.933333,19.120581,-0.694861,8.224020,10.896561,0.098008,-0.000350,-0.014563,0.114973,0.000559,-0.021373
0.966667,19.334700,-0.677219,8.365006,10.969695,0.101858,-0.000388,-0.015274,0.116037,0.000578,-0.021295
1.000000,19.553336,-0.659817,8.507789,11.045547,0.105744,-0.000429,-0.015982,0.117134,0.000596,-0.021189
1.033333,19.776439,-0.642675,8.652306,11.124133,0.109668,-0.000473,-0.016687,0.118263,0.000613,-0.021058
1.066667,20.003965,-0.625811,8.798500,11.205464,0.113629,-0.000520,-0.017386,0.119426,0.000630,-0.020903
1.100000,20.235864,-0.609238,8.946320,11.289544,0.117630,-0.000570,-0.018080,0.120620,0.000646,-0.020727
1.133333,20.472090,-0.592969,9.095720,11.376370,0.121671,-0.000622,-0.018767,0.121846,0.000661,-0.020532
1.166667,20.712597,-0.577012,9.246659,11.465937,0.125754,-0.000678,-0.019448,0.123104,0.000676,-0.020319
1.200000,20.957337,-0.561375,9.399102,11.558235,0.129879,-0.000737,-0.020122,0.124394,0.000690,-0.020090
1.233333,21.206264,-0.546061,9.553016,11.653248,0.134047,-0.000799,-0.020787,0.125714,0.000703,-0.019846
1.266667,21.459332,-0.531073,9.708372,11.750960,0.138260,-0.000864,-0.021444,0.127065,0.000715,-0.019591
1.300000,21.716493,-0.516412,9.865146,11.851347,0.142518,-0.000933,-0.022093,0.128446,0.000726,-0.019323
1.333333,21.977703,-0.502079,10.023315,11.954388,0.146823,-0.001005,-0.022732,0.129857,0.000737,-0.019046
1.366667,22.242915,-0.488071,10.182860,12.060055,0.151176,-0.001081,-0.023362,0.131298,0.000747,-0.018760
