t,x,y,psi,u,v,r,tau_u,tau_r,T1,T2
0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,15.188343,-1.048890,5.577075,9.611268
0.033333,0.003334,-0.000000,-0.000068,0.100021,0.000005,-0.002027,15.223742,-1.083753,5.527731,9.696011
0.066667,0.006669,-0.000000,-0.000198,0.100085,0.000013,-0.003918,15.297472,-1.080299,5.571237,9.726235
0.100000,0.010006,-0.000001,-0.000387,0.100191,0.000024,-0.005679,15.377052,-1.075432,5.620388,9.756663
0.133333,0.013348,-0.000001,-0.000631,0.100339,0.000037,-0.007316,15.462430,-1.069195,5.675071,9.787359
0.166667,0.016696,-0.000002,-0.000926,0.100528,0.000051,-0.008834,15.553556,-1.061643,5.735156,9.818400
0.200000,0.020051,-0.000004,-0.001267,0.100758,0.000068,-0.010239,15.650379,-1.052839,5.800500,9.849879
0.233333,0.023414,-0.000006,-0.001652,0.101028,0.000086,-0.011536,15.752849,-1.042849,5.870946,9.881904
0.266667,0.026786,-0.000009,-0.002076,0.101339,0.000105,-0.012729,15.860915,-1.031747,5.946328,9.914587
0.300000,0.030170,-0.000013,-0.002537,0.101690,0.000125,-0.013824,15.974527,-1.019611,6.026474,9.948053
0.333333,0.033566,-0.000018,-0.003031,0.102081,0.000146,-0.014825,16.093634,-1.006519,6.111203,9.982430
0.366667,0.036976,-0.000024,-0.003555,0.102511,0.000167,-0.015735,16.218186,-0.992554,6.200335,10.017850
0.400000,0.040401,-0.000032,-0.004107,0.102980,0.000189,-0.016560,16.348133,-0.977798,6.293685,10.054448
0.433333,0.043842,-0.000040,-0.004684,0.103488,0.000212,-0.017304,16.483424,-0.962335,6.391068,10.092357
0.466667,0.047300,-0.000050,-0.005283,0.104034,0.000234,-0.017971,16.624011,-0.946246,6.492301,10.131710
0.500000,0.050778,-0.000061,-0.005902,0.104617,0.000257,-0.018564,16.769842,-0.929613,6.597205,10.172638
0.533333,0.054275,-0.000074,-0.006538,0.105239,0.000279,-0.019087,16.920870,-0.912512,6.705603,10.215266
0.566667,0.057794,-0.000088,-0.007190,0.105898,0.000302,-0.019544,17.077043,-0.895022,6.817326,10.259717
0.600000,0.061335,-0.000105,-0.007854,0.106593,0.000324,-0.019939,17.238313,-0.877213,6.932209,10.306104
0.633333,0.064901,-0.000123,-0.008530,0.107326,0.000347,-0.020275,17.404630,-0.859156,7.050093,10.354538
0.666667,0.068491,-0.000142,-0.009215,0.108095,0.000368,-0.020555,17.575946,-0.840915,7.170828,10.405118
0.700000,0.072107,-0.000164,-0.009908,0.108899,0.000390,-0.020784,17.752212,-0.822553,7.294273,10.457939
