t,tau_u_applied,tau_r_applied,T1_applied,T2_applied
0.000000000,1.727386358,-0.541676685,-0.177992754,1.905379112
0.033333333,1.745384219,-0.529772853,-0.146101839,1.891486058
0.066666667,1.781626033,-0.493034997,-0.057331208,1.838957241
0.100000000,1.818358514,-0.459402905,0.025712132,1.792646382
0.133333333,1.855576944,-0.428505715,0.103739021,1.751837924
0.166666667,1.893276644,-0.400022657,0.177363982,1.715912662
0.200000000,1.931452990,-0.373676568,0.247117711,1.684335279
0.233333333,1.970101428,-0.349228249,0.313457928,1.656643500
0.266666667,2.009217485,-0.326471546,0.376778847,1.632438638
0.300000000,2.048796775,-0.305229048,0.437419448,1.611377326
0.333333333,2.088835006,-0.285348320,0.495670733,1.593164273
0.366666667,2.129327987,-0.266698587,0.551782095,1.577545892
0.400000000,2.170271625,-0.249167819,0.605966930,1.564304695
0.433333333,2.211661934,-0.232660157,0.658407588,1.553254346
0.466666667,2.253495032,-0.217093640,0.709259747,1.544235285
0.500000000,2.295767142,-0.202398192,0.758656278,1.537110864
0.533333333,2.338474596,-0.188513847,0.806710669,1.531763927
0.566666667,2.381613829,-0.175389174,0.853520041,1.528093787
0.600000000,2.425181382,-0.162979891,0.899167823,1.526013559
0.633333333,2.469173900,-0.151247648,0.943726089,1.525447811
0.666666667,2.513588131,-0.140158953,0.987257617,1.526330514
0.700000000,2.558420925,-0.129684246,1.029817681,1.528603243
0.733333333,2.603669228,-0.119797089,1.071455598,1.532213631
0.766666667,2.649330087,-0.110473476,1.112216052,1.537114035
0.800000000,2.695400643,-0.101691249,1.152140227,1.543260417
0.833333333,2.741878130,-0.093429610,1.191266738,1.550611392
0.866666667,2.788759872,-0.085668715,1.229632407,1.559127464
0.900000000,2.836043281,-0.078389356,1.267272879,1.568770402
0.933333333,2.883725856,-0.071572712,1.304223097,1.579502758
0.966666667,2.931805177,-0.065200161,1.340517664,1.591287514
1.000000000,2.980278906,-0.059253153,1.376191082,1.604087824
1.033333333,3.029144781,-0.053713128,1.411277913,1.617866868
1.066666667,3.078400614,-0.048561481,1.445812843,1.632587771
1.100000000,3.128044290,-0.043779554,1.479830694,1.648213596
1.133333333,3.178073762,-0.039348667,1.513366367,1.664707395
1.166666667,3.228487048,-0.035250160,1.546454755,1.682032294
1.200000000,3.279282232,-0.031465461,1.579130614,1.700151618
1.233333333,3.330457453,-0.027976158,1.611428423,1.719029030
1.266666667,3.382010913,-0.024764081,1.643382224,1.738628689
1.300000000,3.433940863,-0.021811386,1.675025460,1.758915404
1.333333333,3.486245611,-0.019100635,1.706390815,1.779854796
1.366666667,3.538923509,-0.016614878,1.737510067,1.801413443
1.400000000,3.591972959,-0.014337718,1.768413945,1.823559014
1.433333333,3.645392403,-0.012253379,1.799132012,1.846260392
1.466666667,3.699180328,-0.010346757,1.829692555,1.869487773
1.500000000,3.753335255,-0.008603463,1.860122506,1.893212749
1.533333333,3.807855744,-0.007009857,1.890447378,1.917408366
1.566666667,3.862740387,-0.005553067,1.920691218,1.942049168
1.600000000,3.917987807,-0.004221004,1.950876587,1.967111219
1.633333333,3.973596656,-0.003002364,1.981024552,1.992572104
1.666666667,4.029565611,-0.001886618,2.011154694,2.018410917
1.700000000,4.085893376,-0.000864004,2.041285142,2.044608234
1.733333333,4.142578673,0.000074497,2.071432600,2.071146072
1.766666667,4.199620245,0.000937187,2.101612405,2.098007840
1.800000000,4.257016855,0.001731679,2.131838579,2.125178276
1.833333333,4.314767277,0.002464932,2.162123893,2.152643384
1.866666667,4.372870302,0.003143290,2.192479939,2.180390364
1.900000000,4.431324732,0.003772513,2.222917199,2.208407533
1.933333333,4.490129377,0.004357824,2.253445120,2.236684257
1.966666667,4.549283055,0.004903941,2.284072184,2.265210871
2.000000000,4.608784591,0.005415118,2.314805985,2.293978606
2.033333333,4.668632813,0.005895183,2.345653297,2.322979516
2.066666667,4.728826553,0.006347571,2.376620144,2.352206409
2.100000000,4.789364641,0.006775362,2.407711863,2.381652778
2.133333333,4.850245907,0.007181310,2.438933166,2.411312741
2.166666667,4.911469179,0.007567877,2.470288199,2.441180980
2.200000000,4.973033281,0.007937257,2.501780596,2.471252684
2.233333333,5.034937028,0.008291407,2.533413527,2.501523501
2.266666667,5.097179231,0.008632066,2.565189743,2.531989488
2.300000000,5.159758691,0.008960784,2.597111622,2.562647069
2.333333333,5.222674198,0.009278934,2.629181203,2.593492995
2.366666667,5.285924531,0.009587739,2.661400225,2.624524306
2.400000000,5.349508454,0.009888280,2.693770151,2.655738303
2.433333333,5.413424720,0.010181519,2.726292205,2.687132515
2.466666667,5.477672062,0.010468307,2.758967390,2.718704672
2.500000000,5.542249199,0.010749397,2.791796517,2.750452683
2.533333333,5.607154831,0.011025457,2.824780218,2.782374613
2.566666667,5.672387635,0.011297079,2.857918970,2.814468665
2.600000000,5.737946273,0.011564785,2.891213108,2.846733164
2.633333333,5.803829380,0.011829039,2.924662841,2.879166539
2.666666667,5.870035570,0.012090248,2.958268262,2.911767308
2.700000000,5.936563433,0.012348776,2.992029362,2.944534071
2.733333333,6.003411533,0.012604940,3.025946036,2.977465496
2.766666667,6.070578407,0.012859025,3.060018098,3.010560309
2.800000000,6.138062567,0.013111279,3.094245281,3.043817286
2.833333333,6.205862494,0.013361921,3.128627249,3.077235245
2.866666667,6.273976641,0.013611146,3.163163602,3.110813039
2.900000000,6.342403431,0.013859126,3.197853880,3.144549551
2.933333333,6.411141256,0.014106009,3.232697569,3.178443687
2.966666667,6.480188474,0.014351930,3.267694103,3.212494371
3.000000000,6.549543413,0.014597004,3.302842869,3.246700545
3.033333333,6.619204366,0.014841334,3.338143211,3.281061156
3.066666667,6.689169591,0.015085010,3.373594430,3.315575161
3.100000000,6.759437313,0.015328110,3.409195792,3.350241521
3.133333333,6.830005718,0.015570704,3.444946520,3.385059198
3.166666667,6.900872958,0.015812851,3.480845808,3.420027150
3.200000000,6.972037146,0.016054605,3.516892813,3.455144333
3.233333333,7.043496359,0.016296011,3.553086662,3.490409697
3.266666667,7.115248633,0.016537109,3.589426449,3.525822184
3.300000000,7.187291967,0.016777934,3.625911241,3.561380726
3.333333333,7.259624318,0.017018516,3.662540074,3.597084245
3.366666667,7.332243606,0.017258880,3.699311958,3.632931649
3.400000000,7.405147707,0.017499051,3.736225874,3.668921833
3.433333333,7.478334458,0.017739046,3.773280778,3.705053680
3.466666667,7.551801652,0.017978882,3.810475599,3.741326053
