t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,x_real,y_real,psi_real,u_real,v_real,r_real
0.000000000,0.000000000,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000,1.727386358,-0.541676685,-0.177992754,1.905379112,0.000000000,0.000000000,0.000000000,0.100000000,0.000000000,0.000000000
0.033333333,0.003333571,-0.000000019,-0.000093713,0.100021335,0.000007677,-0.002811401,1.745384219,-0.529772853,-0.146101839,1.891486058,0.003333686,-0.000000006,-0.000046458,0.100021099,0.000004113,-0.002775621
0.066666667,0.006668561,-0.000000151,-0.000272207,0.100085106,0.000020484,-0.005354819,1.781626033,-0.493034997,-0.057331208,1.838957241,0.006668427,-0.000000050,-0.000183237,0.100063184,0.000015981,-0.005419749
0.100000000,0.010006379,-0.000000506,-0.000527334,0.100190958,0.000037686,-0.007653791,1.818358514,-0.459402905,0.025712132,1.792646382,0.010005278,-0.000000180,-0.000403876,0.100147538,0.000034699,-0.007808275
0.133333333,0.013348422,-0.000001197,-0.000851643,0.100338541,0.000058631,-0.009729272,1.855576944,-0.428505715,0.103739021,1.751837924,0.013345642,-0.000000453,-0.000700227,0.100273804,0.000059263,-0.009963462
0.166666667,0.016696075,-0.000002331,-0.001238308,0.100527503,0.000082743,-0.011599967,1.893276644,-0.400022657,0.177363982,1.715912662,0.016690910,-0.000000933,-0.001064844,0.100441632,0.000088785,-0.011905153
0.200000000,0.020050713,-0.000004015,-0.001681062,0.100757495,0.000109516,-0.013282619,1.931452990,-0.373676568,0.247117711,1.684335279,0.020042463,-0.000001689,-0.001490907,0.100650668,0.000122474,-0.013651080
0.233333333,0.023413697,-0.000006357,-0.002174137,0.101028169,0.000138497,-0.014792257,1.970101428,-0.349228249,0.313457928,1.656643500,0.023401669,-0.000002799,-0.001972157,0.100900564,0.000159628,-0.015217135
0.266666667,0.026786377,-0.000009460,-0.002712218,0.101339180,0.000169290,-0.016142414,2.009217485,-0.326471546,0.376778847,1.632438638,0.026769885,-0.000004342,-0.002502838,0.101190970,0.000199621,-0.016617602
0.300000000,0.030170092,-0.000013429,-0.003290395,0.101690183,0.000201540,-0.017345323,2.048796775,-0.305229048,0.437419448,1.611377326,0.030148455,-0.000006405,-0.003077645,0.101521541,0.000241900,-0.017865363
0.333333333,0.033566170,-0.000018365,-0.003904131,0.102080835,0.000234934,-0.018412076,2.088835006,-0.285348320,0.495670733,1.593164273,0.033538713,-0.000009076,-0.003691683,0.101891931,0.000285970,-0.018972079
0.366666667,0.036975927,-0.000024369,-0.004549224,0.102510794,0.000269195,-0.019352772,2.129327987,-0.266698587,0.551782095,1.577545892,0.036941981,-0.000012449,-0.004340427,0.102301798,0.000331392,-0.019948342
0.400000000,0.040400667,-0.000031541,-0.005221779,0.102979721,0.000304075,-0.020176646,2.170271625,-0.249167819,0.605966930,1.564304695,0.040359570,-0.000016619,-0.005019692,0.102750799,0.000377777,-0.020803814
0.433333333,0.043841683,-0.000039979,-0.005918184,0.103487276,0.000339356,-0.020892170,2.211661934,-0.232660157,0.658407588,1.553254346,0.043792780,-0.000021684,-0.005725599,0.103238595,0.000424778,-0.021547341
0.466666667,0.047300257,-0.000049780,-0.006635089,0.104033123,0.000374843,-0.021507154,2.253495032,-0.217093640,0.709259747,1.544235285,0.047242897,-0.000027743,-0.006454552,0.103764848,0.000472087,-0.022187056
0.500000000,0.050777659,-0.000061039,-0.007369383,0.104616924,0.000410364,-0.022028825,2.295767142,-0.202398192,0.758656278,1.537110864,0.050711199,-0.000034898,-0.007203217,0.104329221,0.000519432,-0.022730470
0.533333333,0.054275149,-0.000073851,-0.008118180,0.105238346,0.000445764,-0.022463896,2.338474596,-0.188513847,0.806710669,1.531763927,0.054198950,-0.000043252,-0.007968500,0.104931378,0.000566572,-0.023184543
0.566666667,0.057793973,-0.000088309,-0.008878801,0.105897055,0.000480909,-0.022818626,2.381613829,-0.175389174,0.853520041,1.528093787,0.057707405,-0.000052907,-0.008747532,0.105570987,0.000613292,-0.023555749
0.600000000,0.061335369,-0.000104504,-0.009648763,0.106592718,0.000515677,-0.023098871,2.425181382,-0.162979891,0.899167823,1.526013559,0.061237806,-0.000063969,-0.009537652,0.106247713,0.000659405,-0.023850137
0.633333333,0.064900562,-0.000122527,-0.010425767,0.107325003,0.000549962,-0.023310125,2.469173900,-0.151247648,0.943726089,1.525447811,0.064791383,-0.000076542,-0.010336393,0.106961226,0.000704747,-0.024073370
0.666666667,0.068490766,-0.000142466,-0.011207686,0.108093581,0.000583669,-0.023457561,2.513588131,-0.140158953,0.987257617,1.526330514,0.068369358,-0.000090732,-0.011141473,0.107711196,0.000749172,-0.024230771
0.700000000,0.072107183,-0.000164411,-0.011992555,0.108898121,0.000616716,-0.023546056,2.558420925,-0.129684246,1.029817681,1.528603243,0.071972939,-0.000106641,-0.011950782,0.108497293,0.000792556,-0.024327352
0.733333333,0.075751007,-0.000188446,-0.012778562,0.109738295,0.000649030,-0.023580217,2.603669228,-0.119797089,1.071455598,1.532213631,0.075603324,-0.000124376,-0.012762372,0.109319188,0.000834790,-0.024367844
0.766666667,0.079423417,-0.000214658,-0.013564042,0.110613776,0.000680548,-0.023564406,2.649330087,-0.110473476,1.112216052,1.537114035,0.079261698,-0.000144041,-0.013574447,0.110176555,0.000875782,-0.024356719
0.800000000,0.083125584,-0.000243130,-0.014347467,0.111524236,0.000711214,-0.023502752,2.695400643,-0.101691249,1.152140227,1.543260417,0.082949239,-0.000165738,-0.014385358,0.111069068,0.000915451,-0.024298211
0.833333333,0.086858666,-0.000273945,-0.015127439,0.112469351,0.000740981,-0.023399166,2.741878130,-0.093429610,1.191266738,1.550611392,0.086667109,-0.000189570,-0.015193592,0.111996400,0.000953734,-0.024196327
0.866666667,0.090623810,-0.000307184,-0.015902684,0.113448794,0.000769808,-0.023257353,2.788759872,-0.085668715,1.229632407,1.559127464,0.090416464,-0.000215639,-0.015997768,0.112958228,0.000990574,-0.024054865
0.900000000,0.094422155,-0.000342928,-0.016672045,0.114462242,0.000797662,-0.023080825,2.836043281,-0.078389356,1.267272879,1.568770402,0.094198444,-0.000244045,-0.016796626,0.113954227,0.001025929,-0.023877420
0.933333333,0.098254826,-0.000381256,-0.017434475,0.115509372,0.000824513,-0.022872899,2.883725856,-0.071572712,1.304223097,1.579502758,0.098014181,-0.000274888,-0.017589024,0.114984075,0.001059764,-0.023667396
0.966666667,0.102122938,-0.000422244,-0.018189032,0.116589861,0.000850340,-0.022636714,2.931805177,-0.065200161,1.340517664,1.591287514,0.101864797,-0.000308267,-0.018373930,0.116047450,0.001092055,-0.023428009
1.000000000,0.106027595,-0.000465970,-0.018934873,0.117703386,0.000875124,-0.022375230,2.980278906,-0.059253153,1.376191082,1.604087824,0.105751399,-0.000344277,-0.019150415,0.117144029,0.001122784,-0.023162296
1.033333333,0.109969891,-0.000512509,-0.019671248,0.118849628,0.000898852,-0.022091232,3.029144781,-0.053713128,1.411277913,1.617866868,0.109675089,-0.000383014,-0.019917651,0.118273494,0.001151943,-0.022873120
1.066666667,0.113950909,-0.000561934,-0.020397492,0.120028266,0.000921515,-0.021787342,3.078400614,-0.048561481,1.445812843,1.632587771,0.113636953,-0.000424571,-0.020674899,0.119435522,0.001179527,-0.022563172
1.100000000,0.117971720,-0.000614318,-0.021113026,0.121238980,0.000943107,-0.021466012,3.128044290,-0.043779554,1.479830694,1.648213596,0.117638068,-0.000469042,-0.021421511,0.120629796,0.001205540,-0.022234979
1.133333333,0.122033385,-0.000669733,-0.021817344,0.122481453,0.000963627,-0.021129537,3.178073762,-0.039348667,1.513366367,1.664707395,0.121679502,-0.000516516,-0.022156917,0.121855997,0.001229990,-0.021890903
1.166666667,0.126136956,-0.000728249,-0.022510013,0.123755365,0.000983076,-0.020780057,3.228487048,-0.035250160,1.546454755,1.682032294,0.125762309,-0.000567082,-0.022880625,0.123113806,0.001252891,-0.021533153
1.200000000,0.130283473,-0.000789934,-0.023190665,0.125060400,0.001001459,-0.020419558,3.279282232,-0.031465461,1.579130614,1.700151618,0.129887535,-0.000620826,-0.023592213,0.124402908,0.001274260,-0.021163779
1.233333333,0.134473964,-0.000854857,-0.023858994,0.126396243,0.001018782,-0.020049881,3.330457453,-0.027976158,1.611428423,1.719029030,0.134056215,-0.000677835,-0.024291326,0.125722985,0.001294119,-0.020784686
1.266666667,0.138709449,-0.000923083,-0.024514751,0.127762576,0.001035055,-0.019672724,3.382010913,-0.024764081,1.643382224,1.738628689,0.138269373,-0.000738192,-0.024977670,0.127073723,0.001312491,-0.020397633
