t,x_real,y_real,psi_real,u_real,v_real,r_real,vx,vy,wz,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,u_left,u_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r
0.000000,0.000215,0.000000,-0.000000,0.000017,-0.000000,-0.000000,0.000017,0.000000,0.000000,0.000215,0.000000,0.000000,0.100000,0.000000,0.000000,1.727386,-0.541677,1.727371,-0.541678,-0.052542,0.121800,-0.052542,0.121800,-0.000000,0.000000,0.000000,-0.000000,-0.099983,-0.000000,-0.000000
0.036000,0.000215,0.000000,-0.000000,0.000001,-0.000000,-0.000000,0.000001,0.000000,0.000000,0.003549,-0.000000,-0.000094,0.100021,0.000008,-0.002811,1.745384,-0.529773,1.745400,-0.529772,-0.050909,0.121322,-0.050909,0.121322,-0.003334,0.000000,0.003334,0.000094,-0.100020,-0.000008,0.002811
0.068000,0.000216,0.000000,0.000004,0.000037,0.000008,-0.000089,0.000037,-0.000008,0.000089,0.006884,-0.000000,-0.000272,0.100085,0.000020,-0.005355,1.781626,-0.493035,1.781619,-0.493030,-0.046332,0.119508,-0.046332,0.119508,-0.006668,0.000000,0.006668,0.000276,-0.100048,-0.000012,0.005266
0.100000,0.000321,0.000013,0.000139,0.002673,0.000324,-0.003466,0.002673,-0.000324,0.003466,0.010221,-0.000001,-0.000527,0.100191,0.000038,-0.007654,1.818359,-0.459403,1.818349,-0.459403,0.052316,0.117904,0.052316,0.117904,-0.009900,0.000014,0.009900,0.000666,-0.097518,0.000286,0.004188
0.136000,0.000587,0.000034,0.000460,0.007126,0.000590,-0.008656,0.007126,-0.000590,0.008656,0.013563,-0.000001,-0.000852,0.100339,0.000059,-0.009729,1.855577,-0.428506,1.855569,-0.428508,0.055409,0.116486,0.055409,0.116486,-0.012976,0.000035,0.012976,0.001312,-0.093213,0.000531,0.001073
0.168000,0.001086,0.000044,0.000892,0.013455,0.000299,-0.011852,0.013455,-0.000299,0.011852,0.016911,-0.000002,-0.001238,0.100528,0.000083,-0.011600,1.893277,-0.400023,1.893281,-0.400021,0.058310,0.115234,0.058310,0.115234,-0.015825,0.000046,0.015825,0.002130,-0.087073,0.000216,-0.000252
0.200000,0.001840,0.000038,0.001401,0.020552,-0.000128,-0.014015,0.020552,0.000128,0.014015,0.020266,-0.000004,-0.001681,0.100757,0.000110,-0.013283,1.931453,-0.373677,1.931462,-0.373675,0.061042,0.114131,0.061042,0.114131,-0.018426,0.000042,0.018426,0.003082,-0.080205,-0.000238,-0.000732
0.236000,0.002844,0.000022,0.001972,0.027513,-0.000376,-0.015756,0.027513,0.000376,0.015756,0.023629,-0.000006,-0.002174,0.101028,0.000138,-0.014792,1.970101,-0.349228,1.970098,-0.349222,0.063626,0.113161,0.063626,0.113161,-0.020785,0.000028,0.020785,0.004146,-0.073515,-0.000514,-0.000964
0.268000,0.004094,0.000006,0.002586,0.034344,-0.000378,-0.017000,0.034344,0.000378,0.017000,0.027001,-0.000009,-0.002712,0.101339,0.000169,-0.016142,2.009217,-0.326472,2.009202,-0.326468,0.066079,0.112312,0.066079,0.112312,-0.022907,0.000015,0.022907,0.005298,-0.066995,-0.000547,-0.000858
0.300000,0.005585,-0.000005,0.003229,0.041061,-0.000181,-0.017817,0.041061,0.000181,0.017817,0.030385,-0.000013,-0.003290,0.101690,0.000202,-0.017345,2.048797,-0.305229,2.048811,-0.305232,0.068417,0.111573,0.068417,0.111573,-0.024800,0.000008,0.024800,0.006519,-0.060629,-0.000383,-0.000472
