t,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,T1_ref,T2_ref,cmd_left_ref,cmd_right_ref
0.000000,0.000214,-0.000000,-0.047140,-0.000017,-0.000001,0.000000,-0.000624,0.000000,-0.000312,-0.000312,0.000000,0.000000
0.033333,0.000214,-0.000000,-0.047140,0.000008,-0.000001,-0.000000,0.032017,-0.000013,0.015984,0.016033,0.051929,0.051931
0.066667,0.000215,-0.000000,-0.047140,0.000083,-0.000002,-0.000000,0.066281,-0.000025,0.033092,0.033188,0.052610,0.052613
0.100000,0.000220,-0.000000,-0.047140,0.000207,-0.000004,-0.000000,0.102153,-0.000037,0.051006,0.051148,0.053321,0.053327
0.133333,0.000229,-0.000001,-0.047140,0.000381,-0.000007,-0.000000,0.139623,-0.000049,0.069718,0.069905,0.054063,0.054071
0.166667,0.000246,-0.000002,-0.047140,0.000604,-0.000011,-0.000001,0.178677,-0.000060,0.089224,0.089454,0.054835,0.054845
0.200000,0.000270,-0.000004,-0.047140,0.000875,-0.000015,-0.000001,0.219304,-0.000071,0.109516,0.109788,0.055638,0.055648
0.233333,0.000304,-0.000006,-0.047140,0.001194,-0.000020,-0.000001,0.261491,-0.000081,0.130590,0.130901,0.056469,0.056481
0.266667,0.000350,-0.000009,-0.047140,0.001561,-0.000026,-0.000002,0.305226,-0.000091,0.152438,0.152788,0.057330,0.057344
0.300000,0.000409,-0.000013,-0.047140,0.001976,-0.000032,-0.000002,0.350496,-0.000100,0.175056,0.175441,0.058219,0.058234
0.333333,0.000482,-0.000017,-0.047141,0.002438,-0.000040,-0.000003,0.397290,-0.000109,0.198436,0.198854,0.059137,0.059153
0.366667,0.000572,-0.000023,-0.047141,0.002947,-0.000048,-0.000003,0.445594,-0.000117,0.222572,0.223022,0.060082,0.060100
0.400000,0.000679,-0.000030,-0.047141,0.003502,-0.000056,-0.000003,0.495397,-0.000124,0.247459,0.247938,0.061055,0.061074
0.433333,0.000805,-0.000038,-0.047141,0.004103,-0.000065,-0.000004,0.546686,-0.000131,0.273091,0.273595,0.062055,0.062075
0.466667,0.000952,-0.000047,-0.047141,0.004751,-0.000075,-0.000004,0.599449,-0.000137,0.299461,0.299989,0.063082,0.063102
0.500000,0.001122,-0.000058,-0.047141,0.005444,-0.000086,-0.000005,0.653674,-0.000143,0.326563,0.327111,0.064134,0.064156
0.533333,0.001315,-0.000070,-0.047141,0.006182,-0.000097,-0.000005,0.709348,-0.000147,0.354391,0.354957,0.065213,0.065235
0.566667,0.001534,-0.000084,-0.047142,0.006965,-0.000109,-0.000006,0.766459,-0.000151,0.382940,0.383520,0.066317,0.066339
0.600000,0.001779,-0.000099,-0.047142,0.007792,-0.000121,-0.000006,0.824995,-0.000154,0.412202,0.412793,0.067446,0.067469
0.633333,0.002053,-0.000116,-0.047142,0.008664,-0.000134,-0.000007,0.884943,-0.000156,0.442172,0.442771,0.068600,0.068623
0.666667,0.002356,-0.000135,-0.047142,0.009579,-0.000147,-0.000007,0.946292,-0.000157,0.472844,0.473447,0.069777,0.069801
0.700000,0.002690,-0.000156,-0.047142,0.010538,-0.000162,-0.000008,1.009028,-0.000157,0.504212,0.504816,0.070979,0.071002
0.733333,0.003058,-0.000179,-0.047143,0.011540,-0.000176,-0.000008,1.073140,-0.000156,0.536270,0.536870,0.072204,0.072227
0.766667,0.003459,-0.000204,-0.047143,0.012585,-0.000191,-0.000009,1.138614,-0.000154,0.569011,0.569604,0.073452,0.073474
0.800000,0.003896,-0.000231,-0.047143,0.013673,-0.000207,-0.000009,1.205440,-0.000151,0.602429,0.603011,0.074722,0.074744
0.833333,0.004369,-0.000261,-0.047144,0.014802,-0.000223,-0.000009,1.273604,-0.000147,0.636519,0.637085,0.076014,0.076035
0.866667,0.004881,-0.000293,-0.047144,0.015974,-0.000240,-0.000010,1.343095,-0.000142,0.671274,0.671821,0.077328,0.077349
0.900000,0.005433,-0.000327,-0.047144,0.017187,-0.000257,-0.000010,1.413899,-0.000136,0.706688,0.707211,0.078663,0.078683
0.933333,0.006025,-0.000364,-0.047145,0.018441,-0.000274,-0.000010,1.486005,-0.000129,0.742755,0.743250,0.080019,0.080038
0.966667,0.006660,-0.000403,-0.047145,0.019736,-0.000292,-0.000010,1.559400,-0.000120,0.779469,0.779931,0.081396,0.081413
1.000000,0.007339,-0.000445,-0.047145,0.021072,-0.000311,-0.000010,1.634072,-0.000110,0.816825,0.817248,0.082792,0.082808
1.033333,0.008063,-0.000490,-0.047146,0.022448,-0.000330,-0.000010,1.710009,-0.000099,0.854814,0.855195,0.084208,0.084222
1.066667,0.008833,-0.000538,-0.047146,0.023863,-0.000349,-0.000010,1.787199,-0.000086,0.893433,0.893766,0.085643,0.085655
1.100000,0.009651,-0.000589,-0.047146,0.025318,-0.000369,-0.000010,1.865628,-0.000073,0.932674,0.932954,0.087097,0.087107
1.133333,0.010519,-0.000642,-0.047147,0.026813,-0.000389,-0.000010,1.945285,-0.000058,0.972532,0.972753,0.088569,0.088578
1.166667,0.011436,-0.000699,-0.047147,0.028346,-0.000409,-0.000010,2.026158,-0.000041,1.013000,1.013158,0.090060,0.090065
1.200000,0.012405,-0.000758,-0.047147,0.029917,-0.000430,-0.000009,2.108234,-0.000023,1.054072,1.054161,0.091567,0.091571
1.233333,0.013428,-0.000821,-0.047147,0.031527,-0.000451,-0.000009,2.191500,-0.000004,1.095743,1.095757,0.093092,0.093093
1.266667,0.014504,-0.000888,-0.047148,0.033174,-0.000473,-0.000008,2.275945,0.000017,1.138006,1.137940,0.094634,0.094632
1.300000,0.015636,-0.000957,-0.047148,0.034859,-0.000495,-0.000008,2.361557,0.000040,1.180855,1.180702,0.096192,0.096186
1.333333,0.016824,-0.001030,-0.047148,0.036582,-0.000517,-0.000007,2.448322,0.000064,1.224284,1.224039,0.097766,0.097757
1.366667,0.018070,-0.001106,-0.047148,0.038341,-0.000539,-0.000006,2.536229,0.000089,1.268286,1.267943,0.099356,0.099343
1.400000,0.019376,-0.001186,-0.047149,0.040136,-0.000562,-0.000005,2.625265,0.000117,1.312857,1.312408,0.100960,0.100944
1.433333,0.020742,-0.001270,-0.047149,0.041968,-0.000585,-0.000004,2.715418,0.000145,1.357989,1.357429,0.102580,0.102560
1.466667,0.022169,-0.001357,-0.047149,0.043835,-0.000608,-0.000003,2.806676,0.000176,1.403677,1.403000,0.104214,0.104190
