t,x_real,y_real,psi_real,u_real,v_real,r_real,x_ref,y_ref,psi_ref,u_ref,v_ref,r_ref,tau_u_ref,tau_r_ref,tau_u_applied,tau_r_applied,cmd_left,cmd_right,err_x,err_y,err_pos,err_psi,err_u,err_v,err_r
0.000000,0.000214,0.000000,-0.000000,-0.000017,0.000000,-0.000000,0.000214,-0.000000,-0.047140,-0.000017,-0.000001,0.000000,-0.000624,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.047140,0.000000,0.000001,-0.000000
0.916000,0.000214,0.000000,0.000000,-0.000014,-0.000000,-0.000000,0.000214,-0.000000,-0.047140,0.000008,-0.000001,-0.000000,0.032017,-0.000013,0.032009,-0.000013,0.051929,0.051931,0.000000,0.000000,0.000000,0.047140,-0.000022,0.000001,-0.000000
0.932000,0.000214,0.000000,0.000000,-0.000012,0.000000,-0.000000,0.000215,-0.000000,-0.047140,0.000083,-0.000002,-0.000000,0.066281,-0.000025,0.066278,-0.000020,0.052610,0.052613,-0.000001,0.000000,0.000001,0.047140,-0.000095,0.000002,-0.000000
0.964000,0.000285,0.000000,0.000000,0.001765,0.000000,-0.000000,0.000220,-0.000000,-0.047140,0.000207,-0.000004,-0.000000,0.102153,-0.000037,0.102159,-0.000039,0.053321,0.053327,0.000065,0.000000,0.000065,0.047140,0.001558,0.000004,-0.000000
1.000000,0.000554,0.000000,0.000000,0.007172,0.000000,-0.000000,0.000229,-0.000001,-0.047140,0.000381,-0.000007,-0.000000,0.139623,-0.000049,0.139632,-0.000052,0.054063,0.054071,0.000325,0.000001,0.000325,0.047140,0.006791,0.000007,-0.000000
1.032000,0.001021,0.000000,0.000000,0.012665,0.000000,-0.000000,0.000246,-0.000002,-0.047140,0.000604,-0.000011,-0.000001,0.178677,-0.000060,0.178680,-0.000066,0.054835,0.054845,0.000775,0.000002,0.000775,0.047140,0.012061,0.000011,0.000001
1.064000,0.001682,0.000000,0.000000,0.018060,0.000000,-0.000000,0.000270,-0.000004,-0.047140,0.000875,-0.000015,-0.000001,0.219304,-0.000071,0.219309,-0.000066,0.055638,0.055648,0.001412,0.000004,0.001412,0.047140,0.017185,0.000015,0.000001
1.100000,0.002533,0.000000,0.000000,0.023367,0.000000,-0.000000,0.000304,-0.000006,-0.047140,0.001194,-0.000020,-0.000001,0.261491,-0.000081,0.261478,-0.000079,0.056469,0.056481,0.002229,0.000006,0.002229,0.047140,0.022173,0.000020,0.000001
1.132000,0.003573,0.000000,0.000000,0.028599,0.000000,-0.000001,0.000350,-0.000009,-0.047140,0.001561,-0.000026,-0.000002,0.305226,-0.000091,0.305244,-0.000092,0.057330,0.057344,0.003223,0.000009,0.003223,0.047140,0.027038,0.000026,0.000001
1.164000,0.004800,0.000000,0.000000,0.033775,0.000000,-0.000001,0.000409,-0.000013,-0.047140,0.001976,-0.000032,-0.000002,0.350496,-0.000100,0.350488,-0.000099,0.058219,0.058234,0.004391,0.000013,0.004391,0.047140,0.031799,0.000032,0.000001
1.200000,0.006211,0.000000,0.000000,0.038908,0.000000,-0.000002,0.000482,-0.000017,-0.047141,0.002438,-0.000040,-0.000003,0.397290,-0.000109,0.397295,-0.000106,0.059137,0.059153,0.005729,0.000017,0.005729,0.047141,0.036470,0.000040,0.000001
1.232000,0.006211,0.000000,0.000000,0.038908,0.000000,-0.000002,0.000572,-0.000023,-0.047141,0.002947,-0.000048,-0.000003,0.445594,-0.000117,0.445598,-0.000120,0.060082,0.060100,0.005639,0.000023,0.005639,0.047141,0.035961,0.000048,0.000001
1.264000,0.007804,0.000000,0.000000,0.043993,0.000000,-0.000002,0.000679,-0.000030,-0.047141,0.003502,-0.000056,-0.000003,0.495397,-0.000124,0.495404,-0.000126,0.061055,0.061074,0.007125,0.000030,0.007125,0.047141,0.040491,0.000056,0.000001
1.300000,0.009579,0.000000,0.000000,0.049025,0.000000,-0.000002,0.000805,-0.000038,-0.047141,0.004103,-0.000065,-0.000004,0.546686,-0.000131,0.546696,-0.000133,0.062055,0.062075,0.008774,0.000038,0.008774,0.047141,0.044922,0.000065,0.000002
1.332000,0.011533,0.000000,0.000000,0.053990,0.000000,-0.000003,0.000952,-0.000047,-0.047141,0.004751,-0.000075,-0.000004,0.599449,-0.000137,0.599458,-0.000134,0.063082,0.063102,0.010581,0.000047,0.010581,0.047141,0.049239,0.000075,0.000001
1.364000,0.013662,0.000000,0.000001,0.058877,0.000000,-0.000003,0.001122,-0.000058,-0.047141,0.005444,-0.000086,-0.000005,0.653674,-0.000143,0.653672,-0.000147,0.064134,0.064156,0.012540,0.000058,0.012540,0.047142,0.053433,0.000086,0.000002
1.400000,0.015965,0.000000,0.000001,0.063690,0.000000,-0.000004,0.001315,-0.000070,-0.047141,0.006182,-0.000097,-0.000005,0.709348,-0.000147,0.709349,-0.000148,0.065213,0.065235,0.014650,0.000070,0.014650,0.047142,0.057508,0.000097,0.000001
1.432000,0.018438,0.000000,0.000001,0.068437,0.000000,-0.000003,0.001534,-0.000084,-0.047142,0.006965,-0.000109,-0.000006,0.766459,-0.000151,0.766445,-0.000148,0.066317,0.066339,0.016904,0.000084,0.016904,0.047143,0.061472,0.000109,0.000003
1.464000,0.021080,0.000000,0.000001,0.073134,0.000000,-0.000005,0.001779,-0.000099,-0.047142,0.007792,-0.000121,-0.000006,0.824995,-0.000154,0.824996,-0.000155,0.067446,0.067469,0.019301,0.000099,0.019301,0.047143,0.065342,0.000121,0.000001
1.500000,0.023890,0.000000,0.000001,0.077799,0.000000,-0.000005,0.002053,-0.000116,-0.047142,0.008664,-0.000134,-0.000007,0.884943,-0.000156,0.884958,-0.000156,0.068600,0.068623,0.021837,0.000116,0.021837,0.047143,0.069135,0.000134,0.000002
