t,x_plan,y_plan,psi_plan,u_plan,v_plan,r_plan,x_real,y_real,psi_real,u_real,v_real,r_real,tau_u_plan,tau_r_plan,tau_u_applied,tau_r_applied,T1_plan,T2_plan,T1_applied,T2_applied
0.000000,0.000000,0.000000,-0.030696,0.099953,0.003069,0.000000,0.000000,0.000000,-0.030696,0.099953,0.003069,0.000000,3.675027,0.000471,3.675027,0.000471,1.838419,1.836608,1.838419,1.836608
0.033333,0.003334,-0.000000,-0.030696,0.099973,0.003068,-0.000000,0.003372,-0.000004,-0.030696,0.102297,0.002932,-0.000002,3.701315,0.000357,3.701315,0.000357,1.851343,1.849972,1.851343,1.849972
0.066667,0.006668,-0.000000,-0.030696,0.100033,0.003067,-0.000001,0.006823,-0.000014,-0.030696,0.104620,0.002801,-0.000005,3.728911,0.000239,3.728911,0.000239,1.864916,1.863995,1.864916,1.863995
0.100000,0.010006,-0.000000,-0.030696,0.100134,0.003063,-0.000003,0.010350,-0.000031,-0.030696,0.106924,0.002676,-0.000009,3.757805,0.000119,3.757805,0.000119,1.879132,1.878673,1.879132,1.878673
0.133333,0.013348,-0.000001,-0.030696,0.100274,0.003059,-0.000004,0.013953,-0.000054,-0.030697,0.109212,0.002556,-0.000012,3.787988,-0.000004,3.787988,-0.000004,1.893987,1.894001,1.893987,1.894001
0.166667,0.016694,-0.000002,-0.030696,0.100453,0.003053,-0.000007,0.017632,-0.000084,-0.030697,0.111484,0.002442,-0.000016,3.819449,-0.000129,3.819449,-0.000129,1.909476,1.909973,1.909476,1.909973
0.200000,0.020048,-0.000003,-0.030696,0.100671,0.003046,-0.000010,0.021387,-0.000120,-0.030698,0.113742,0.002333,-0.000021,3.852179,-0.000257,3.852179,-0.000257,1.925594,1.926585,1.925594,1.926585
0.233333,0.023409,-0.000005,-0.030697,0.100928,0.003038,-0.000013,0.025216,-0.000161,-0.030698,0.115989,0.002229,-0.000026,3.886168,-0.000388,3.886168,-0.000388,1.942337,1.943831,1.942337,1.943831
0.266667,0.026780,-0.000007,-0.030697,0.101224,0.003029,-0.000017,0.029120,-0.000208,-0.030699,0.118225,0.002129,-0.000031,3.921406,-0.000521,3.921406,-0.000521,1.959700,1.961706,1.959700,1.961706
0.300000,0.030161,-0.000010,-0.030698,0.101558,0.003018,-0.000022,0.033099,-0.000261,-0.030701,0.120452,0.002034,-0.000037,3.957883,-0.000657,3.957883,-0.000657,1.977678,1.980205,1.977678,1.980205
