t,x,y,psi,u,v,r,jerk_x,jerk_y,tau_u,tau_r,tau_v,T1,T2
0.000000,0.000000,0.000000,-0.030696,0.099953,0.003069,0.000000,0.036340,-0.002283,3.675027,0.000471,0.100000,1.838419,1.836608
0.033333,0.003334,-0.000000,-0.030696,0.099973,0.003068,-0.000000,0.036101,-0.002263,3.701315,0.000357,0.099103,1.851343,1.849972
0.066667,0.006668,-0.000000,-0.030696,0.100033,0.003067,-0.000001,0.035861,-0.002244,3.728911,0.000239,0.098173,1.864916,1.863995
0.100000,0.010006,-0.000000,-0.030696,0.100134,0.003063,-0.000003,0.035622,-0.002224,3.757805,0.000119,0.097210,1.879132,1.878673
0.133333,0.013348,-0.000001,-0.030696,0.100274,0.003059,-0.000004,0.035383,-0.002205,3.787988,-0.000004,0.096217,1.893987,1.894001
0.166667,0.016694,-0.000002,-0.030696,0.100453,0.003053,-0.000007,0.035143,-0.002186,3.819449,-0.000129,0.095192,1.909476,1.909973
0.200000,0.020048,-0.000003,-0.030696,0.100671,0.003046,-0.000010,0.034904,-0.002166,3.852179,-0.000257,0.094137,1.925594,1.926585
0.233333,0.023409,-0.000005,-0.030697,0.100928,0.003038,-0.000013,0.034664,-0.002147,3.886168,-0.000388,0.093052,1.942337,1.943831
0.266667,0.026780,-0.000007,-0.030697,0.101224,0.003029,-0.000017,0.034425,-0.002127,3.921406,-0.000521,0.091937,1.959700,1.961706
0.300000,0.030161,-0.000010,-0.030698,0.101558,0.003018,-0.000022,0.034185,-0.002108,3.957883,-0.000657,0.090793,1.977678,1.980205
0.333333,0.033554,-0.000014,-0.030699,0.101930,0.003007,-0.000027,0.033946,-0.002089,3.995590,-0.000795,0.089621,1.996266,1.999324
0.366667,0.036960,-0.000018,-0.030700,0.102340,0.002994,-0.000032,0.033706,-0.002069,4.034517,-0.000935,0.088421,2.015460,2.019056
0.400000,0.040380,-0.000024,-0.030701,0.102788,0.002980,-0.000038,0.033467,-0.002050,4.074653,-0.001077,0.087193,2.035255,2.039398
0.433333,0.043816,-0.000030,-0.030702,0.103272,0.002965,-0.000045,0.033227,-0.002030,4.115990,-0.001221,0.085939,2.055646,2.060343
0.466667,0.047268,-0.000038,-0.030704,0.103794,0.002949,-0.000051,0.032988,-0.002011,4.158517,-0.001367,0.084657,2.076629,2.081888
